Header_line;21
location;Drammen - Norway
year_of_construction;2007
floor_area;569
number_of_users;68
building_category;Kdg
central_heating_system;1
dhw_heat_source;ASHP,EB
sh_heat_source;ASHP,EB
ventilation_heat_source;ASHP,EB
ventilation_types;CAV_sch
night_setback;1
lighting_control;0
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6398

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity import
;C;W/m2;m/s;deg;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity imported 
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElImp
2018-01-01T00:00:00+0100;-2.72;0.0;1.1;290.7;6000.0
2018-01-01T01:00:00+0100;-2.7;0.0;0.83;276.37;5000.0
2018-01-01T02:00:00+0100;-2.38;0.0;0.9;246.42;6000.0
2018-01-01T03:00:00+0100;-2.19;0.0;0.82;244.09;6000.0
2018-01-01T04:00:00+0100;-2.26;0.0;0.55;240.66;5000.0
2018-01-01T05:00:00+0100;-2.1;0.0;0.92;238.52;6000.0
2018-01-01T06:00:00+0100;-1.46;0.0;1.7;201.01;5000.0
2018-01-01T07:00:00+0100;-1.53;-0.0;1.73;225.12;5000.0
2018-01-01T08:00:00+0100;-1.42;0.0;2.36;219.55;5000.0
2018-01-01T09:00:00+0100;-1.17;5.49;1.89;234.18;5000.0
2018-01-01T10:00:00+0100;-1.2;43.25;1.33;256.44;5000.0
2018-01-01T11:00:00+0100;-0.55;46.56;1.42;253.34;4000.0
2018-01-01T12:00:00+0100;-0.31;61.16;0.77;260.08;5000.0
2018-01-01T13:00:00+0100;-0.18;46.31;1.72;226.28;3000.0
2018-01-01T14:00:00+0100;-0.17;20.94;1.26;256.2;3000.0
2018-01-01T15:00:00+0100;0.17;1.17;1.45;243.08;4000.0
2018-01-01T16:00:00+0100;0.01;0.0;2.19;233.31;3000.0
2018-01-01T17:00:00+0100;-0.07;0.0;1.16;234.55;4000.0
2018-01-01T18:00:00+0100;-0.05;0.0;0.53;234.68;5000.0
2018-01-01T19:00:00+0100;-0.34;0.0;2.04;261.24;3000.0
2018-01-01T20:00:00+0100;-0.33;0.0;1.35;249.02;6000.0
2018-01-01T21:00:00+0100;-0.27;0.0;1.74;261.42;3000.0
2018-01-01T22:00:00+0100;-0.33;0.0;0.48;315.31;5000.0
2018-01-01T23:00:00+0100;-0.04;0.0;2.4;266.16;5000.0
2018-01-02T00:00:00+0100;0.02;0.0;2.82;277.31;5000.0
2018-01-02T01:00:00+0100;-0.11;0.0;3.25;281.44;5000.0
2018-01-02T02:00:00+0100;-0.73;0.0;4.26;286.28;5000.0
2018-01-02T03:00:00+0100;-1.27;0.0;4.55;281.34;6000.0
2018-01-02T04:00:00+0100;-1.35;0.0;3.74;280.27;6000.0
2018-01-02T05:00:00+0100;-1.42;0.0;3.98;284.22;9000.0
2018-01-02T06:00:00+0100;-1.81;0.0;3.87;285.08;22000.0
2018-01-02T07:00:00+0100;-2.45;-0.0;3.71;278.57;35000.0
2018-01-02T08:00:00+0100;-2.89;0.0;3.51;283.16;41000.0
2018-01-02T09:00:00+0100;-3.06;6.6;3.24;283.89;39000.0
2018-01-02T10:00:00+0100;-2.82;50.33;3.58;281.03;30000.0
2018-01-02T11:00:00+0100;-2.76;88.04;3.44;277.68;27000.0
2018-01-02T12:00:00+0100;-2.44;97.37;3.38;284.45;29000.0
2018-01-02T13:00:00+0100;-2.18;77.87;2.64;279.41;28000.0
2018-01-02T14:00:00+0100;-1.56;39.47;2.71;280.02;28000.0
2018-01-02T15:00:00+0100;-1.52;2.07;2.87;278.0;24000.0
2018-01-02T16:00:00+0100;-2.37;0.01;3.36;273.5;26000.0
2018-01-02T17:00:00+0100;-3.26;0.0;2.95;275.64;23000.0
2018-01-02T18:00:00+0100;-3.81;0.0;2.8;275.3;4000.0
2018-01-02T19:00:00+0100;-4.22;0.0;2.64;273.55;3000.0
2018-01-02T20:00:00+0100;-4.69;0.0;3.04;271.03;5000.0
2018-01-02T21:00:00+0100;-4.88;0.0;2.96;270.47;2000.0
2018-01-02T22:00:00+0100;-5.21;0.0;2.25;265.1;5000.0
