Header_line;24
location;Drammen - Norway
year_of_construction;1977
floor_area;3958
number_of_users;300
number_of_buildings;3
building_category;Sch
energy_label;F
central_heating_system;1
dhw_heat_source;HWH,Ukn
sh_heat_source;EB,EH
ventilation_heat_source;EB,EHB
ventilation_types;DCV
pv;No
night_setback;1
lighting_control;1
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6400

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity import;Electricity use;Heat production
;C;W/m2;m/s;deg;Wh;Wh;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity imported ;Electricity for electric boiler;Heat produced from Oil
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElImp;ElBoil;HtOil
2018-01-01T00:00:00+0100;-1.59;0.0;1.35;341.85;76000.0;25000.0;0.0
2018-01-01T01:00:00+0100;-1.66;0.0;1.27;355.34;74000.0;22000.0;0.0
2018-01-01T02:00:00+0100;-1.45;0.0;1.13;355.5;65000.0;23000.0;0.0
2018-01-01T03:00:00+0100;-1.77;0.0;1.28;314.45;63000.0;21000.0;0.0
2018-01-01T04:00:00+0100;-1.14;0.0;1.25;295.85;67000.0;21000.0;0.0
2018-01-01T05:00:00+0100;-0.6;0.0;1.51;278.21;72000.0;18000.0;0.0
2018-01-01T06:00:00+0100;-0.5;0.0;1.44;257.08;62000.0;18000.0;0.0
2018-01-01T07:00:00+0100;-0.74;-0.0;2.18;284.48;56000.0;15000.0;0.0
2018-01-01T08:00:00+0100;-0.99;0.0;1.95;284.9;57000.0;15000.0;0.0
2018-01-01T09:00:00+0100;-0.45;5.25;1.24;337.27;56000.0;15000.0;0.0
2018-01-01T10:00:00+0100;-0.84;45.07;1.28;332.69;57000.0;15000.0;0.0
2018-01-01T11:00:00+0100;-0.33;46.02;1.09;263.85;56000.0;15000.0;0.0
2018-01-01T12:00:00+0100;-0.01;54.35;0.97;300.0;58000.0;18000.0;0.0
2018-01-01T13:00:00+0100;0.08;42.36;0.87;241.64;58000.0;18000.0;0.0
2018-01-01T14:00:00+0100;0.0;15.64;0.62;342.83;56000.0;15000.0;0.0
2018-01-01T15:00:00+0100;0.31;1.01;0.63;296.45;56000.0;15000.0;0.0
2018-01-01T16:00:00+0100;0.14;0.01;1.37;281.72;72000.0;16000.0;0.0
2018-01-01T17:00:00+0100;0.3;0.0;1.37;302.57;60000.0;18000.0;0.0
2018-01-01T18:00:00+0100;0.54;0.0;1.0;319.87;58000.0;16000.0;0.0
