Header_line;21
location;Drammen - Norway
year_of_construction;1986
floor_area;188
number_of_users;36
building_category;Kdg
central_heating_system;0
dhw_heat_source;HWH
sh_heat_source;EH
ventilation_heat_source;EHB
ventilation_types;CAV_sch
night_setback;1
lighting_control;0
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6402

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity import
;C;W/m2;m/s;deg;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity imported 
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElImp
2018-01-01T00:00:00+0100;-1.59;0.0;1.35;341.85;9000.0
2018-01-01T01:00:00+0100;-1.66;0.0;1.27;355.34;8000.0
2018-01-01T02:00:00+0100;-1.45;0.0;1.13;355.5;8000.0
2018-01-01T03:00:00+0100;-1.77;0.0;1.28;314.45;8000.0
2018-01-01T04:00:00+0100;-1.14;0.0;1.25;295.85;9000.0
2018-01-01T05:00:00+0100;-0.6;0.0;1.51;278.21;9000.0
2018-01-01T06:00:00+0100;-0.5;0.0;1.44;257.08;8000.0
2018-01-01T07:00:00+0100;-0.74;-0.0;2.18;284.48;8000.0
2018-01-01T08:00:00+0100;-0.99;0.0;1.95;284.9;8000.0
2018-01-01T09:00:00+0100;-0.45;5.25;1.24;337.27;8000.0
2018-01-01T10:00:00+0100;-0.84;45.07;1.28;332.69;8000.0
2018-01-01T11:00:00+0100;-0.33;46.02;1.09;263.85;8000.0
2018-01-01T12:00:00+0100;-0.01;54.35;0.97;300.0;8000.0
2018-01-01T13:00:00+0100;0.08;42.36;0.87;241.64;8000.0
2018-01-01T14:00:00+0100;0.0;15.64;0.62;342.83;8000.0
2018-01-01T15:00:00+0100;0.31;1.01;0.63;296.45;8000.0
2018-01-01T16:00:00+0100;0.14;0.01;1.37;281.72;8000.0
2018-01-01T17:00:00+0100;0.3;0.0;1.37;302.57;7000.0
2018-01-01T18:00:00+0100;0.54;0.0;1.0;319.87;7000.0
2018-01-01T19:00:00+0100;0.04;0.0;1.94;281.19;8000.0
2018-01-01T20:00:00+0100;0.34;0.0;1.32;266.23;8000.0
2018-01-01T21:00:00+0100;-0.14;0.0;1.51;295.88;8000.0
2018-01-01T22:00:00+0100;0.31;0.0;0.7;0.99;7000.0
2018-01-01T23:00:00+0100;0.47;0.0;1.93;265.35;8000.0
2018-01-02T00:00:00+0100;0.02;0.0;2.42;272.42;7000.0
2018-01-02T01:00:00+0100;-0.45;0.0;3.18;282.1;8000.0
2018-01-02T02:00:00+0100;-0.81;0.0;3.57;285.48;9000.0
2018-01-02T03:00:00+0100;-1.1;0.0;3.61;276.51;8000.0
2018-01-02T04:00:00+0100;-0.82;0.0;3.13;280.24;7000.0
2018-01-02T05:00:00+0100;-0.9;0.0;3.62;284.04;11000.0
2018-01-02T06:00:00+0100;-1.05;0.0;3.2;285.1;10000.0
2018-01-02T07:00:00+0100;-1.49;-0.0;2.91;283.26;12000.0
2018-01-02T08:00:00+0100;-1.83;0.0;2.82;287.66;18000.0
2018-01-02T09:00:00+0100;-1.69;6.52;2.85;290.19;17000.0
2018-01-02T10:00:00+0100;-1.59;50.16;3.0;278.82;19000.0
2018-01-02T11:00:00+0100;-2.0;87.89;3.16;254.45;17000.0
2018-01-02T12:00:00+0100;-1.63;96.82;2.92;279.65;18000.0
2018-01-02T13:00:00+0100;-1.18;76.32;2.32;275.4;19000.0
2018-01-02T14:00:00+0100;-0.62;39.31;2.08;283.96;19000.0
2018-01-02T15:00:00+0100;-0.62;2.04;2.06;289.25;17000.0
2018-01-02T16:00:00+0100;-1.35;0.0;2.69;276.55;18000.0
2018-01-02T17:00:00+0100;-2.41;0.0;2.27;274.91;18000.0
2018-01-02T18:00:00+0100;-3.15;0.0;1.91;280.82;6000.0
2018-01-02T19:00:00+0100;-3.81;0.0;1.51;279.28;7000.0
2018-01-02T20:00:00+0100;-3.65;0.0;1.46;273.93;7000.0
2018-01-02T21:00:00+0100;-4.79;0.0;1.3;274.82;7000.0
2018-01-02T22:00:00+0100;-4.16;0.0;1.17;276.94;8000.0
