Header_line;24
location;Drammen - Norway
year_of_construction;1925
floor_area;1095
number_of_users;97
number_of_units;2
number_of_buildings;2
building_category;Kdg
notes;Renovated and expanded in 2010
central_heating_system;1
dhw_heat_source;GSHP,EB
sh_heat_source;GSHP,EB
ventilation_heat_source;GSHP,EB
ventilation_types;CAV_sch,DCV
night_setback;1
lighting_control;1
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6409

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity import;Electricity use;Heat use;Heat production;Electricity use
;C;W/m2;m/s;deg;Wh;Wh;Wh;Wh;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity imported ;Electricity for electric boiler;Heat Total = HtSpace + HtDHW;Heat from heat pumps;Heat pump
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElImp;ElBoil;HtTot;HtHP;ElHP
2018-01-01T00:00:00+0100;-2.5;0;1.37;312.69;11000;1000;5200;4200;10000
2018-01-01T01:00:00+0100;-2.5;0;0.79;313.32;13000;1000;6800;5800;10000
2018-01-01T02:00:00+0100;-2.61;0;0.46;349.24;12000;1000;6200;5200;0
2018-01-01T03:00:00+0100;-2.3;0;0.51;353.57;12000;1000;7100;6100;10000
2018-01-01T04:00:00+0100;-2.06;0;0.39;62.23;12000;2000;8200;6200;10000
2018-01-01T05:00:00+0100;-2.11;0;0.68;211.33;12000;2000;7100;5100;0
2018-01-01T06:00:00+0100;-1.3;0;1.5;185.76;12000;3000;9500;6500;10000
2018-01-01T07:00:00+0100;-1.02;0;2.44;202.93;12000;3000;8500;5500;0
2018-01-01T08:00:00+0100;-1.12;0;2.85;202.74;13000;2000;8800;6800;10000
2018-01-01T09:00:00+0100;-0.79;5.62;3.01;209.41;14000;2000;9800;7800;10000
2018-01-01T10:00:00+0100;-0.2;32.86;2.19;212.83;11000;2000;7500;5500;0
2018-01-01T11:00:00+0100;0.25;47.72;1.46;254.16;12000;1000;9100;8100;10000
2018-01-01T12:00:00+0100;0.34;61.44;0.98;279.75;8000;1000;2800;1800;0
2018-01-01T13:00:00+0100;0.66;52.87;1.6;206.49;11000;1000;5800;4800;10000
2018-01-01T14:00:00+0100;0.62;22.77;1.31;236.23;10000;0;3800;3800;0
2018-01-01T15:00:00+0100;0.38;0.99;1.43;229.37;10000;1000;6100;5100;0
2018-01-01T16:00:00+0100;0.65;0;2.41;217.59;11000;1000;6500;5500;10000
2018-01-01T17:00:00+0100;0.53;0;1.91;204.8;10000;2000;5800;3800;0
2018-01-01T18:00:00+0100;0.46;0;1.26;206.38;11000;1000;7500;6500;10000
2018-01-01T19:00:00+0100;0.16;0;2.13;268.66;11000;1000;4800;3800;10000
2018-01-01T20:00:00+0100;0.55;0;1.55;267.49;12000;2000;7500;5500;0
2018-01-01T21:00:00+0100;0.06;0;2.04;266.74;11000;0;5100;5100;10000
2018-01-01T22:00:00+0100;-0.27;0;1.35;324.38;11000;1000;6500;5500;10000
2018-01-01T23:00:00+0100;0.43;0;2.58;284.97;11000;2000;6800;4800;0
2018-01-02T00:00:00+0100;0.2;0;2.59;282.47;11000;1000;6500;5500;10000
2018-01-02T01:00:00+0100;-0.01;0;3.26;286.47;11000;2000;5800;3800;0
2018-01-02T02:00:00+0100;-0.61;0;4.4;292.13;14000;2000;9500;7500;10000
2018-01-02T03:00:00+0100;-1.16;0;4.56;288.96;12000;1000;6500;5500;10000
2018-01-02T04:00:00+0100;-1.15;0;3.81;288.02;12000;8000;11400;3400;20000
2018-01-02T05:00:00+0100;-1.24;0;4;288.62;23000;8000;22700;14700;20000
2018-01-02T06:00:00+0100;-0.98;0;3.82;295.16;26000;15000;24800;9800;20000
2018-01-02T07:00:00+0100;-1.52;0;3.87;289.47;44000;22000;51000;29000;20000
2018-01-02T08:00:00+0100;-1.56;0;3.74;294.1;51000;20000;56300;36300;20000
2018-01-02T09:00:00+0100;-1.77;6.77;3.35;294.66;49000;18000;52600;34600;20000
2018-01-02T10:00:00+0100;-2.43;51.05;3.77;293.63;47000;18000;51300;33300;20000
2018-01-02T11:00:00+0100;-2.47;89.38;3.34;283.28;47000;14000;48000;34000;20000
2018-01-02T12:00:00+0100;-2.11;100.12;3.22;294.32;42000;12000;39300;27300;20000
2018-01-02T13:00:00+0100;-2.34;81.37;2.82;290.32;44000;12000;40600;28600;20000
2018-01-02T14:00:00+0100;-1.76;40.07;2.86;291.5;45000;4000;35600;31600;20000
2018-01-02T15:00:00+0100;-1.66;2.14;3.16;291.66;37000;3000;25300;22300;10000
2018-01-02T16:00:00+0100;-2.46;0;3.43;287.64;33000;2000;21300;19300;20000
2018-01-02T17:00:00+0100;-3.04;0;3.12;287.17;30000;3000;22200;19200;10000
2018-01-02T18:00:00+0100;-3.61;0;3.03;290.8;21000;2000;16800;14800;10000
2018-01-02T19:00:00+0100;-3.88;0;2.86;291.08;14000;1000;9400;8400;0
2018-01-02T20:00:00+0100;-4.31;0;3.1;285.24;13000;1000;7500;6500;10000
2018-01-02T21:00:00+0100;-4.71;0;2.95;285.94;12000;0;5800;5800;10000
2018-01-02T22:00:00+0100;-5.32;0;2.13;272.55;10000;0;2800;2800;0
2018-01-02T23:00:00+0100;-5.84;0;0.7;292.25;13000;0;5800;5800;10000
2018-01-03T00:00:00+0100;-4.76;0;0.64;11.93;11000;0;4800;4800;10000
2018-01-03T01:00:00+0100;-4.5;0;1.09;23.04;11000;1000;6500;5500;0
2018-01-03T02:00:00+0100;-4.53;0;1.88;310.1;11000;0;3800;3800;10000
2018-01-03T03:00:00+0100;-4.53;0;1.96;342.45;11000;1000;7500;6500;0
2018-01-03T04:00:00+0100;-4.2;0;2.87;355.52;10000;6000;9100;3100;20000
2018-01-03T05:00:00+0100;-3.79;0;2.57;359.37;22000;9000;23500;14500;20000
2018-01-03T06:00:00+0100;-3.38;0;3.05;2.22;23000;10000;16400;6400;20000
2018-01-03T07:00:00+0100;-3.1;0;2.37;349.11;41000;16000;44000;28000;20000
2018-01-03T08:00:00+0100;-2.67;0;1.99;359.87;44000;15000;43300;28300;20000
2018-01-03T09:00:00+0100;-2.37;0.21;2.01;65.09;44000;13000;43300;30300;20000
2018-01-03T10:00:00+0100;-1.81;2.28;2.82;54.34;43000;10000;40600;30600;20000
