Header_line;24
location;Drammen - Norway
year_of_construction;1986
floor_area;3327
number_of_users;49
number_of_units;5
building_category;Nsh
energy_label;C
notes;Renovated/expanded in 2009
central_heating_system;0
dhw_heat_source;HWH
sh_heat_source;EH
ventilation_heat_source;EHB
ventilation_types;DCV
night_setback;1
lighting_control;0
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6410

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity import;Electricity use;Heat use
;C;W/m2;m/s;deg;Wh;Wh;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity imported ;Electricity for DHW production and heat tracing;Domestic Hot Water
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElImp;ElDHW;HtDHW
2018-01-01T00:00:00+0100;-2.5;0.0;1.37;312.69;71000.0;;
2018-01-01T01:00:00+0100;-2.5;0.0;0.79;313.32;74000.0;;
2018-01-01T02:00:00+0100;-2.61;0.0;0.46;349.24;73000.0;;
2018-01-01T03:00:00+0100;-2.3;0.0;0.51;353.57;68000.0;;
2018-01-01T04:00:00+0100;-2.06;0.0;0.39;62.23;63000.0;;
2018-01-01T05:00:00+0100;-2.11;0.0;0.68;211.33;65000.0;;
2018-01-01T06:00:00+0100;-1.3;0.0;1.5;185.76;121000.0;;
2018-01-01T07:00:00+0100;-1.02;-0.0;2.44;202.93;103000.0;;
2018-01-01T08:00:00+0100;-1.12;0.0;2.85;202.74;137000.0;;
2018-01-01T09:00:00+0100;-0.79;5.62;3.01;209.41;148000.0;;
2018-01-01T10:00:00+0100;-0.2;32.86;2.19;212.83;149000.0;;
2018-01-01T11:00:00+0100;0.25;47.72;1.46;254.16;133000.0;;
2018-01-01T12:00:00+0100;0.34;61.44;0.98;279.75;141000.0;;
2018-01-01T13:00:00+0100;0.66;52.87;1.6;206.49;137000.0;;
2018-01-01T14:00:00+0100;0.62;22.77;1.31;236.23;134000.0;;
2018-01-01T15:00:00+0100;0.38;0.99;1.43;229.37;140000.0;;
2018-01-01T16:00:00+0100;0.65;0.0;2.41;217.59;135000.0;;
2018-01-01T17:00:00+0100;0.53;0.0;1.91;204.8;134000.0;;
2018-01-01T18:00:00+0100;0.46;0.0;1.26;206.38;128000.0;;
2018-01-01T19:00:00+0100;0.16;0.0;2.13;268.66;127000.0;;
2018-01-01T20:00:00+0100;0.55;0.0;1.55;267.49;121000.0;;
2018-01-01T21:00:00+0100;0.06;0.0;2.04;266.74;131000.0;;
2018-01-01T22:00:00+0100;-0.27;0.0;1.35;324.38;116000.0;;
2018-01-01T23:00:00+0100;0.43;0.0;2.58;284.97;66000.0;;
2018-01-02T00:00:00+0100;0.2;0.0;2.59;282.47;63000.0;;
2018-01-02T01:00:00+0100;-0.01;0.0;3.26;286.47;63000.0;;
2018-01-02T02:00:00+0100;-0.61;0.0;4.4;292.13;57000.0;;
2018-01-02T03:00:00+0100;-1.16;0.0;4.56;288.96;57000.0;;
2018-01-02T04:00:00+0100;-1.15;0.0;3.81;288.02;57000.0;;
2018-01-02T05:00:00+0100;-1.24;0.0;4.0;288.62;58000.0;;
2018-01-02T06:00:00+0100;-0.98;0.0;3.82;295.16;112000.0;;
2018-01-02T07:00:00+0100;-1.52;-0.0;3.87;289.47;101000.0;;
2018-01-02T08:00:00+0100;-1.56;0.0;3.74;294.1;138000.0;;
2018-01-02T09:00:00+0100;-1.77;6.77;3.35;294.66;164000.0;;
2018-01-02T10:00:00+0100;-2.43;51.05;3.77;293.63;150000.0;;
2018-01-02T11:00:00+0100;-2.47;89.38;3.34;283.28;154000.0;;
2018-01-02T12:00:00+0100;-2.11;100.12;3.22;294.32;157000.0;;
2018-01-02T13:00:00+0100;-2.34;81.37;2.82;290.32;144000.0;;
2018-01-02T14:00:00+0100;-1.76;40.07;2.86;291.5;151000.0;;
2018-01-02T15:00:00+0100;-1.66;2.14;3.16;291.66;144000.0;;
2018-01-02T16:00:00+0100;-2.46;0.0;3.43;287.64;139000.0;;
2018-01-02T17:00:00+0100;-3.04;0.0;3.12;287.17;149000.0;;
2018-01-02T18:00:00+0100;-3.61;0.0;3.03;290.8;137000.0;;
2018-01-02T19:00:00+0100;-3.88;0.0;2.86;291.08;137000.0;;
2018-01-02T20:00:00+0100;-4.31;0.0;3.1;285.24;141000.0;;
2018-01-02T21:00:00+0100;-4.71;0.0;2.95;285.94;138000.0;;
2018-01-02T22:00:00+0100;-5.32;0.0;2.13;272.55;119000.0;;
