Header_line;22
location;Drammen - Norway
year_of_construction;2015
floor_area;5086
building_category;Sch
central_heating_system;1
dhw_heat_source;SC,HWH
sh_heat_source;GSHP,SC,EB
ventilation_heat_source;GSHP,EB
snow_melt_heat_source;GSHP,EB
cooling_source;Free
ventilation_types;DCV
night_setback;0
lighting_control;1
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6413

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity import;Heat use;Electricity use;Electricity use;Electricity use;Heat use;Electricity use;Electricity use;Heat use;Heat production;Electricity use;Heat production;Electricity use;Heat use;Electricity use;Electricity use;Heat use
;C;W/m2;m/s;deg;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity imported ;Heat for pool heating;Electricity for ventilation of pool area;Electricity lighting;Electricity for charging of electric vehicles;Snow melting;Electricity outdoor heating;Electricity for electric boiler;Room heating;Heat from heat pumps;Heat pump;Solar collector heat produced;Electricity use for pumps;Domestic Hot Water;Electricity for hot water heater;Electricty ventilation fans;Ventilation heating battery
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElImp;HtPool;ElVentPool;ElLight;ElEV;HtSnow;ElLightOut;ElBoil;HtRoom;HtHP;ElHP;HtSC;ElPump;HtDHW;ElHWH;ElFan;HtVent
2018-01-01T00:00:00+0100;-2.72;0.0;1.1;290.7;71000.0;10000.0;14690.0;560.0;0.0;0.0;1380.0;0.0;20000.0;0.0;9200.0;0.0;1580.0;0.0;2980.0;7790.0;0.0
2018-01-01T01:00:00+0100;-2.7;0.0;0.83;276.37;67000.0;10000.0;13280.0;860.0;0.0;0.0;2190.0;0.0;40000.0;0.0;13910.0;0.0;2340.0;0.0;4240.0;6550.0;0.0
2018-01-01T02:00:00+0100;-2.38;0.0;0.9;246.42;68000.0;0.0;0.0;660.0;0.0;0.0;2490.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018-01-01T03:00:00+0100;-2.19;0.0;0.82;244.09;68000.0;10000.0;11280.0;870.0;0.0;0.0;2280.0;0.0;20000.0;100000.0;10580.0;0.0;2060.0;0.0;3700.0;5740.0;0.0
2018-01-01T04:00:00+0100;-2.26;0.0;0.55;240.66;68000.0;0.0;8220.0;890.0;0.0;0.0;2690.0;0.0;20000.0;0.0;7780.0;0.0;1380.0;0.0;2630.0;3840.0;0.0
2018-01-01T05:00:00+0100;-2.1;0.0;0.92;238.52;69000.0;10000.0;9660.0;190.0;0.0;0.0;0.0;0.0;20000.0;0.0;8230.0;0.0;1590.0;0.0;2790.0;4420.0;0.0
2018-01-01T06:00:00+0100;-1.46;0.0;1.7;201.01;66000.0;10000.0;9030.0;900.0;0.0;0.0;2600.0;0.0;20000.0;0.0;8920.0;0.0;1730.0;0.0;3120.0;4820.0;0.0
