Header_line;25
location;Drammen - Norway
year_of_construction;2001
floor_area;8513
number_of_users;600
building_category;Sch
energy_label;C
notes;New building built after 2018.
central_heating_system;1
dhw_heat_source;EB,HWH
sh_heat_source;EB
ventilation_heat_source;ASHP
cooling_source;DX
ventilation_types;DCV
pv;No
night_setback;0
lighting_control;1
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6416

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity import;Electricity use
;C;W/m2;m/s;deg;Wh;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity imported ;Electricity for electric boiler
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElImp;ElBoil
2018-01-01T00:00:00+0100;-4.26;0.0;1.05;155.3;174000.0;134000.0
2018-01-01T01:00:00+0100;-3.81;0.0;1.05;137.63;170000.0;131000.0
2018-01-01T02:00:00+0100;-3.66;0.0;1.25;114.0;173000.0;134000.0
2018-01-01T03:00:00+0100;-3.75;0.0;0.86;121.48;173000.0;133000.0
2018-01-01T04:00:00+0100;-3.66;0.0;0.84;103.13;173000.0;134000.0
2018-01-01T05:00:00+0100;-3.31;0.0;0.68;109.59;172000.0;133000.0
2018-01-01T06:00:00+0100;-2.5;0.0;1.1;109.94;197000.0;156000.0
2018-01-01T07:00:00+0100;-2.81;-0.0;0.69;39.85;167000.0;123000.0
2018-01-01T08:00:00+0100;-2.69;0.0;1.11;194.95;176000.0;132000.0
2018-01-01T09:00:00+0100;-2.5;5.08;1.97;183.06;174000.0;133000.0
2018-01-01T10:00:00+0100;-1.61;44.87;1.36;193.73;169000.0;129000.0
2018-01-01T11:00:00+0100;-1.59;73.35;1.42;186.89;193000.0;154000.0
2018-01-01T12:00:00+0100;-1.3;72.66;0.89;182.69;155000.0;116000.0
2018-01-01T13:00:00+0100;-1.39;58.44;1.48;172.02;164000.0;125000.0
2018-01-01T14:00:00+0100;-1.09;24.0;1.31;178.54;170000.0;131000.0
2018-01-01T15:00:00+0100;-1.12;1.36;0.68;187.71;156000.0;117000.0
2018-01-01T16:00:00+0100;-1.52;0.01;1.85;198.55;182000.0;143000.0
2018-01-01T17:00:00+0100;-1.95;0.0;1.39;197.2;192000.0;153000.0
2018-01-01T18:00:00+0100;-2.33;0.0;1.44;216.22;158000.0;120000.0
2018-01-01T19:00:00+0100;-1.93;0.0;1.88;241.52;171000.0;132000.0
2018-01-01T20:00:00+0100;-1.65;0.0;1.58;227.47;168000.0;130000.0
2018-01-01T21:00:00+0100;-0.9;0.0;2.33;244.48;148000.0;109000.0
2018-01-01T22:00:00+0100;-0.49;0.0;0.96;229.94;148000.0;109000.0
2018-01-01T23:00:00+0100;-0.79;0.0;2.63;250.58;146000.0;107000.0
2018-01-02T00:00:00+0100;-0.57;0.0;2.91;251.48;150000.0;111000.0
2018-01-02T01:00:00+0100;-0.62;0.0;3.48;256.5;164000.0;125000.0
2018-01-02T02:00:00+0100;-1.31;0.0;4.37;258.86;196000.0;157000.0
2018-01-02T03:00:00+0100;-1.93;0.0;3.97;257.31;192000.0;153000.0
2018-01-02T04:00:00+0100;-2.09;0.0;3.5;251.38;194000.0;156000.0
2018-01-02T05:00:00+0100;-2.04;0.0;3.57;257.46;145000.0;106000.0
2018-01-02T06:00:00+0100;-2.38;0.0;3.46;259.09;195000.0;153000.0
2018-01-02T07:00:00+0100;-3.11;-0.0;2.81;251.94;185000.0;130000.0
2018-01-02T08:00:00+0100;-3.67;0.0;2.97;255.84;260000.0;163000.0
2018-01-02T09:00:00+0100;-3.39;6.38;3.04;260.6;298000.0;168000.0
2018-01-02T10:00:00+0100;-3.41;49.98;3.95;254.01;307000.0;170000.0
2018-01-02T11:00:00+0100;-3.58;87.51;4.18;250.28;308000.0;169000.0
2018-01-02T12:00:00+0100;-2.84;95.66;3.92;256.74;296000.0;156000.0
2018-01-02T13:00:00+0100;-2.36;75.5;3.22;252.73;293000.0;151000.0
2018-01-02T14:00:00+0100;-1.71;39.72;2.8;255.72;294000.0;154000.0
2018-01-02T15:00:00+0100;-1.68;2.12;2.81;252.95;279000.0;151000.0
2018-01-02T16:00:00+0100;-2.83;0.0;3.39;250.93;214000.0;109000.0
2018-01-02T17:00:00+0100;-3.75;0.0;3.31;251.14;218000.0;120000.0
2018-01-02T18:00:00+0100;-4.04;0.0;2.94;250.19;227000.0;164000.0
2018-01-02T19:00:00+0100;-4.52;0.0;2.78;244.13;215000.0;156000.0
2018-01-02T20:00:00+0100;-5.17;0.0;3.12;252.17;193000.0;153000.0
2018-01-02T21:00:00+0100;-5.71;0.0;2.87;243.8;193000.0;153000.0
2018-01-02T22:00:00+0100;-5.81;0.0;2.17;236.57;195000.0;154000.0
2018-01-02T23:00:00+0100;-6.53;0.0;1.79;183.75;193000.0;153000.0
2018-01-03T00:00:00+0100;-5.93;0.0;1.76;160.29;192000.0;152000.0
2018-01-03T01:00:00+0100;-6.35;0.0;2.03;140.68;196000.0;156000.0
2018-01-03T02:00:00+0100;-5.99;0.0;2.02;177.09;195000.0;155000.0
2018-01-03T03:00:00+0100;-5.84;0.0;0.88;172.18;196000.0;156000.0
2018-01-03T04:00:00+0100;-5.71;0.0;1.49;99.23;194000.0;153000.0
2018-01-03T05:00:00+0100;-5.55;0.0;1.63;111.0;196000.0;157000.0
2018-01-03T06:00:00+0100;-5.19;0.0;1.93;86.96;193000.0;151000.0
2018-01-03T07:00:00+0100;-4.86;-0.0;1.95;87.52;222000.0;151000.0
2018-01-03T08:00:00+0100;-4.39;0.0;2.47;76.61;277000.0;153000.0
2018-01-03T09:00:00+0100;-3.8;0.2;2.11;98.21;341000.0;150000.0
2018-01-03T10:00:00+0100;-3.22;1.95;3.06;75.17;340000.0;150000.0
2018-01-03T11:00:00+0100;-2.38;3.92;3.41;72.58;341000.0;150000.0
2018-01-03T12:00:00+0100;-1.54;6.52;3.46;72.99;323000.0;136000.0
2018-01-03T13:00:00+0100;-0.84;7.56;3.89;69.41;311000.0;117000.0
2018-01-03T14:00:00+0100;-0.21;2.22;3.81;70.41;291000.0;115000.0
2018-01-03T15:00:00+0100;0.01;0.1;4.13;72.7;253000.0;114000.0
2018-01-03T16:00:00+0100;-0.22;0.0;4.54;63.49;217000.0;110000.0
2018-01-03T17:00:00+0100;-0.08;0.0;4.02;58.86;161000.0;69000.0
2018-01-03T18:00:00+0100;0.08;0.0;4.5;55.91;157000.0;90000.0
2018-01-03T19:00:00+0100;0.29;0.0;4.63;58.0;194000.0;127000.0
2018-01-03T20:00:00+0100;0.52;0.0;4.45;55.87;180000.0;117000.0
2018-01-03T21:00:00+0100;0.54;0.0;4.61;53.13;163000.0;102000.0
2018-01-03T22:00:00+0100;0.67;0.0;4.6;50.0;146000.0;87000.0
2018-01-03T23:00:00+0100;0.74;0.0;4.53;46.32;152000.0;109000.0
2018-01-04T00:00:00+0100;0.75;0.0;4.43;44.43;136000.0;96000.0
2018-01-04T01:00:00+0100;0.71;0.0;4.31;48.96;160000.0;119000.0
2018-01-04T02:00:00+0100;0.59;0.0;4.27;50.06;172000.0;132000.0
2018-01-04T03:00:00+0100;0.54;0.0;3.69;48.98;182000.0;135000.0
2018-01-04T04:00:00+0100;0.56;0.0;3.93;53.26;180000.0;134000.0
2018-01-04T05:00:00+0100;0.64;0.0;3.72;51.65;182000.0;135000.0
2018-01-04T06:00:00+0100;0.78;0.0;3.5;48.17;182000.0;135000.0
2018-01-04T07:00:00+0100;0.77;-0.0;3.45;50.98;181000.0;134000.0
2018-01-04T08:00:00+0100;0.66;0.0;3.43;52.87;263000.0;148000.0
2018-01-04T09:00:00+0100;0.7;0.7;3.19;56.21;280000.0;108000.0
2018-01-04T10:00:00+0100;0.72;6.54;2.64;45.28;281000.0;109000.0
2018-01-04T11:00:00+0100;0.84;9.09;2.23;46.02;281000.0;109000.0
2018-01-04T12:00:00+0100;0.99;40.57;2.77;43.54;299000.0;122000.0
2018-01-04T13:00:00+0100;1.08;12.32;2.34;41.82;288000.0;109000.0
2018-01-04T14:00:00+0100;1.06;2.86;2.9;36.9;273000.0;93000.0
2018-01-04T15:00:00+0100;0.88;0.49;2.62;41.37;272000.0;118000.0
2018-01-04T16:00:00+0100;0.65;0.0;2.9;36.41;192000.0;78000.0
2018-01-04T17:00:00+0100;0.52;0.0;3.1;37.8;152000.0;90000.0
2018-01-04T18:00:00+0100;0.58;0.0;3.05;39.86;153000.0;90000.0
2018-01-04T19:00:00+0100;0.69;0.0;3.0;43.2;153000.0;91000.0
2018-01-04T20:00:00+0100;0.93;0.0;2.59;50.08;152000.0;90000.0
2018-01-04T21:00:00+0100;0.93;0.0;2.6;49.64;153000.0;91000.0
2018-01-04T22:00:00+0100;0.72;0.0;2.99;40.17;153000.0;90000.0
2018-01-04T23:00:00+0100;0.49;0.0;3.26;39.64;152000.0;90000.0
2018-01-05T00:00:00+0100;0.33;0.0;3.08;39.31;126000.0;87000.0
2018-01-05T01:00:00+0100;0.32;0.0;3.15;40.56;149000.0;109000.0
2018-01-05T02:00:00+0100;0.22;0.0;3.16;40.49;214000.0;175000.0
2018-01-05T03:00:00+0100;0.16;0.0;3.35;38.44;164000.0;125000.0
2018-01-05T04:00:00+0100;-0.07;0.0;3.07;42.38;151000.0;111000.0
2018-01-05T05:00:00+0100;-0.12;0.0;2.91;41.3;149000.0;110000.0
2018-01-05T06:00:00+0100;-0.08;0.0;3.23;37.82;189000.0;147000.0
2018-01-05T07:00:00+0100;0.01;-0.0;3.37;33.68;170000.0;111000.0
2018-01-05T08:00:00+0100;0.0;0.0;2.88;27.46;263000.0;147000.0
2018-01-05T09:00:00+0100;-0.05;1.89;2.18;25.43;340000.0;174000.0
2018-01-05T10:00:00+0100;-0.22;9.89;1.63;11.08;279000.0;96000.0
2018-01-05T11:00:00+0100;-0.25;16.48;1.36;1.55;295000.0;108000.0
2018-01-05T12:00:00+0100;-0.31;23.63;0.97;308.42;285000.0;103000.0
2018-01-05T13:00:00+0100;-0.2;44.21;0.7;334.03;278000.0;97000.0
2018-01-05T14:00:00+0100;-0.17;36.48;1.22;1.48;290000.0;117000.0
2018-01-05T15:00:00+0100;-0.25;2.17;1.11;323.81;192000.0;103000.0
2018-01-05T16:00:00+0100;-0.27;-0.01;1.12;297.85;193000.0;103000.0
2018-01-05T17:00:00+0100;-1.13;0.0;1.27;293.5;194000.0;104000.0
2018-01-05T18:00:00+0100;-1.99;0.0;1.21;285.07;193000.0;103000.0
2018-01-05T19:00:00+0100;-3.03;0.0;1.62;264.83;193000.0;103000.0
2018-01-05T20:00:00+0100;-3.56;0.0;2.57;250.57;171000.0;129000.0
2018-01-05T21:00:00+0100;-3.35;0.0;2.7;250.04;187000.0;131000.0
2018-01-05T22:00:00+0100;-3.35;0.0;2.45;250.61;188000.0;130000.0
2018-01-05T23:00:00+0100;-4.06;0.0;2.73;254.28;172000.0;132000.0
2018-01-06T00:00:00+0100;-4.92;0.0;2.98;255.96;169000.0;130000.0
2018-01-06T01:00:00+0100;-5.38;0.0;3.25;254.49;172000.0;132000.0
2018-01-06T02:00:00+0100;-5.76;0.0;3.33;254.16;172000.0;133000.0
2018-01-06T03:00:00+0100;-5.7;0.0;3.34;254.57;171000.0;131000.0
2018-01-06T04:00:00+0100;-5.64;0.0;2.97;256.01;175000.0;135000.0
2018-01-06T05:00:00+0100;-5.67;0.0;3.32;257.6;174000.0;134000.0
2018-01-06T06:00:00+0100;-5.59;0.0;3.52;257.53;174000.0;134000.0
2018-01-06T07:00:00+0100;-5.6;-0.0;3.69;257.5;171000.0;131000.0
2018-01-06T08:00:00+0100;-5.34;0.0;3.66;256.09;170000.0;131000.0
2018-01-06T09:00:00+0100;-5.58;6.96;3.71;258.89;177000.0;130000.0
2018-01-06T10:00:00+0100;-5.98;47.19;3.21;257.86;187000.0;133000.0
2018-01-06T11:00:00+0100;-6.48;94.47;3.15;263.99;184000.0;129000.0
2018-01-06T12:00:00+0100;-6.1;111.27;3.33;255.46;183000.0;130000.0
2018-01-06T13:00:00+0100;-5.31;93.69;3.72;254.07;189000.0;132000.0
2018-01-06T14:00:00+0100;-5.32;48.91;3.9;255.64;190000.0;132000.0
2018-01-06T15:00:00+0100;-5.96;4.35;3.94;249.81;181000.0;132000.0
2018-01-06T16:00:00+0100;-6.42;0.0;4.13;250.2;182000.0;133000.0
2018-01-06T17:00:00+0100;-7.08;0.0;4.66;252.17;182000.0;133000.0
2018-01-06T18:00:00+0100;-7.44;0.0;5.31;255.53;182000.0;133000.0
