Header_line;23
location;Drammen - Norway
year_of_construction;1969
floor_area;6290
number_of_users;350
building_category;Sch
energy_label;D
central_heating_system;1
dhw_heat_source;EB,HWH
sh_heat_source;EH
ventilation_heat_source;EB,EHB
ventilation_types;DCV
pv;No
night_setback;1
lighting_control;1
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6420

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity use;Electricity import
;C;W/m2;m/s;deg;Wh;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity for electric boiler;Electricity imported 
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElBoil;ElImp
2018-01-01T00:00:00+0100;-3.3;0.0;1.47;60.14;88000;97000
2018-01-01T01:00:00+0100;-3.2;0.0;1.37;57.72;85000;93000
2018-01-01T02:00:00+0100;-3.1;0.0;1.21;67.39;87000;96000
2018-01-01T03:00:00+0100;-3.0;0.0;0.97;73.08;86000;94000
2018-01-01T04:00:00+0100;-2.8;0.0;0.97;75.88;85000;93000
2018-01-01T05:00:00+0100;-2.6;0.0;0.63;82.13;85000;94000
2018-01-01T06:00:00+0100;-2.6;0.0;0.99;75.63;85000;94000
2018-01-01T07:00:00+0100;-2.6;-0.0;0.69;8.73;83000;92000
2018-01-01T08:00:00+0100;-2.4;0.0;0.56;298.26;85000;94000
2018-01-01T09:00:00+0100;-2.3;4.81;0.96;14.23;85000;94000
2018-01-01T10:00:00+0100;-1.9;44.34;0.81;32.52;84000;92000
2018-01-01T11:00:00+0100;-1.8;73.02;1.03;87.17;83000;92000
2018-01-01T12:00:00+0100;-1.5;72.82;1.03;54.44;83000;91000
2018-01-01T13:00:00+0100;-1.2;59.86;0.82;91.25;83000;92000
2018-01-01T14:00:00+0100;-1.1;22.61;1.36;61.37;83000;91000
2018-01-01T15:00:00+0100;-1.0;0.82;1.28;48.19;80000;89000
2018-01-01T16:00:00+0100;-1.2;0.0;1.44;33.71;84000;92000
2018-01-01T17:00:00+0100;-1.2;0.0;1.17;60.48;82000;91000
2018-01-01T18:00:00+0100;-1.2;0.0;1.24;62.65;82000;90000
2018-01-01T19:00:00+0100;-1.1;0.0;1.2;349.41;82000;91000
2018-01-01T20:00:00+0100;-0.8;0.0;0.96;324.15;82000;91000
2018-01-01T21:00:00+0100;-0.6;0.0;1.52;294.68;81000;89000
2018-01-01T22:00:00+0100;-0.5;0.0;0.63;315.66;82000;90000
2018-01-01T23:00:00+0100;-0.4;0.0;1.62;305.31;80000;89000
2018-01-02T00:00:00+0100;-0.7;0.0;1.89;312.4;80000;88000
2018-01-02T01:00:00+0100;-1.2;0.0;2.36;303.46;81000;90000
2018-01-02T02:00:00+0100;-1.8;0.0;3.31;314.02;80000;89000
2018-01-02T03:00:00+0100;-2.1;0.0;3.05;312.4;81000;90000
2018-01-02T04:00:00+0100;-2.5;0.0;2.27;312.54;81000;89000
2018-01-02T05:00:00+0100;-2.8;0.0;2.73;308.55;92000;101000
2018-01-02T06:00:00+0100;-3.7;0.0;2.55;316.12;91000;138000
2018-01-02T07:00:00+0100;-4.9;-0.0;1.48;312.44;164000;214000
2018-01-02T08:00:00+0100;-5.8;0.0;2.1;328.89;167000;256000
2018-01-02T09:00:00+0100;-4.3;6.34;2.31;331.3;169000;249000
2018-01-02T10:00:00+0100;-5.0;50.23;3.74;336.69;169000;251000
2018-01-02T11:00:00+0100;-4.7;88.44;3.28;332.62;166000;248000
2018-01-02T12:00:00+0100;-5.2;97.23;2.54;311.82;158000;239000
2018-01-02T13:00:00+0100;-4.7;77.97;2.04;315.26;156000;235000
2018-01-02T14:00:00+0100;-4.0;39.95;1.88;323.22;154000;228000
2018-01-02T15:00:00+0100;-3.4;2.09;2.43;358.49;143000;212000
2018-01-02T16:00:00+0100;-5.2;0.0;2.94;357.61;136000;200000
2018-01-02T17:00:00+0100;-5.7;0.0;2.89;357.52;73000;119000
2018-01-02T18:00:00+0100;-7.5;0.0;2.71;11.56;67000;115000
2018-01-02T19:00:00+0100;-7.8;0.0;2.29;17.59;71000;119000
2018-01-02T20:00:00+0100;-7.6;0.0;2.4;327.87;75000;123000
2018-01-02T21:00:00+0100;-9.2;0.0;2.08;7.85;75000;120000
2018-01-02T22:00:00+0100;-7.8;0.0;1.29;13.08;78000;122000
2018-01-02T23:00:00+0100;-8.0;0.0;1.66;65.92;75000;93000
2018-01-03T00:00:00+0100;-7.4;0.0;1.91;62.1;78000;88000
2018-01-03T01:00:00+0100;-7.2;0.0;2.3;62.86;77000;87000
2018-01-03T02:00:00+0100;-6.7;0.0;2.11;45.52;79000;89000
2018-01-03T03:00:00+0100;-6.3;0.0;2.42;31.13;81000;91000
2018-01-03T04:00:00+0100;-6.0;0.0;2.43;45.18;81000;91000
2018-01-03T05:00:00+0100;-5.7;0.0;2.59;42.94;92000;102000
2018-01-03T06:00:00+0100;-5.5;0.0;3.13;42.51;93000;143000
2018-01-03T07:00:00+0100;-5.1;-0.0;3.35;46.52;166000;219000
2018-01-03T08:00:00+0100;-4.6;0.0;3.85;47.88;178000;259000
2018-01-03T09:00:00+0100;-4.0;0.26;3.49;52.13;184000;256000
2018-01-03T10:00:00+0100;-3.6;2.75;4.15;52.86;183000;254000
2018-01-03T11:00:00+0100;-3.2;5.08;4.42;56.67;184000;256000
2018-01-03T12:00:00+0100;-2.6;8.84;4.36;57.26;177000;248000
2018-01-03T13:00:00+0100;-1.9;12.02;4.74;57.93;172000;240000
2018-01-03T14:00:00+0100;0.8;3.45;4.51;58.22;169000;227000
2018-01-03T15:00:00+0100;1.2;0.16;4.72;64.63;157000;212000
2018-01-03T16:00:00+0100;1.1;0.0;5.35;52.06;141000;186000
2018-01-03T17:00:00+0100;1.1;0.0;5.05;45.75;71000;101000
2018-01-03T18:00:00+0100;1.6;0.0;5.52;44.87;72000;100000
2018-01-03T19:00:00+0100;1.8;0.0;5.42;49.03;73000;102000
2018-01-03T20:00:00+0100;2.0;0.0;5.09;46.85;69000;100000
2018-01-03T21:00:00+0100;1.9;0.0;5.35;43.97;64000;96000
2018-01-03T22:00:00+0100;2.2;0.0;5.35;42.82;70000;97000
2018-01-03T23:00:00+0100;1.8;0.0;5.49;39.14;68000;77000
2018-01-04T00:00:00+0100;1.9;0.0;5.54;36.76;66000;73000
2018-01-04T01:00:00+0100;1.9;0.0;5.46;39.69;68000;75000
2018-01-04T02:00:00+0100;2.0;0.0;5.07;42.55;67000;74000
2018-01-04T03:00:00+0100;1.8;0.0;4.58;40.72;91000;109000
2018-01-04T04:00:00+0100;1.9;0.0;4.79;44.36;90000;108000
2018-01-04T05:00:00+0100;2.1;0.0;4.59;42.44;91000;109000
2018-01-04T06:00:00+0100;2.1;0.0;4.37;40.25;90000;108000
2018-01-04T07:00:00+0100;0.5;-0.0;4.27;41.5;91000;109000
2018-01-04T08:00:00+0100;0.5;0.0;4.13;42.69;159000;219000
2018-01-04T09:00:00+0100;0.5;1.08;3.94;43.74;159000;212000
2018-01-04T10:00:00+0100;0.5;10.81;3.52;36.8;159000;212000
2018-01-04T11:00:00+0100;2.2;13.36;3.35;34.82;159000;212000
2018-01-04T12:00:00+0100;1.8;54.6;3.6;34.72;159000;213000
2018-01-04T13:00:00+0100;0.8;27.4;3.21;33.73;159000;212000
2018-01-04T14:00:00+0100;0.8;4.89;3.23;33.75;152000;204000
2018-01-04T15:00:00+0100;0.7;0.43;3.13;34.24;141000;189000
2018-01-04T16:00:00+0100;0.4;0.0;3.22;32.3;122000;166000
2018-01-04T17:00:00+0100;0.4;0.0;3.63;32.81;71000;98000
2018-01-04T18:00:00+0100;0.3;0.0;3.93;34.34;58000;84000
2018-01-04T19:00:00+0100;0.8;0.0;3.95;36.39;58000;84000
2018-01-04T20:00:00+0100;0.7;0.0;3.49;40.43;59000;86000
2018-01-04T21:00:00+0100;0.7;0.0;3.55;39.67;58000;84000
2018-01-04T22:00:00+0100;0.7;0.0;4.02;34.59;58000;85000
2018-01-04T23:00:00+0100;0.4;0.0;4.26;34.05;59000;85000
2018-01-05T00:00:00+0100;0.3;0.0;4.06;32.63;56000;63000
2018-01-05T01:00:00+0100;0.2;0.0;4.13;32.94;60000;67000
2018-01-05T02:00:00+0100;0.2;0.0;4.13;32.37;59000;66000
2018-01-05T03:00:00+0100;0.1;0.0;4.13;31.57;61000;67000
2018-01-05T04:00:00+0100;-0.1;0.0;3.99;33.07;63000;70000
2018-01-05T05:00:00+0100;-0.2;0.0;3.76;31.5;75000;82000
2018-01-05T06:00:00+0100;-0.5;0.0;3.73;29.76;74000;110000
2018-01-05T07:00:00+0100;-0.7;-0.0;3.69;27.37;147000;179000
2018-01-05T08:00:00+0100;-0.7;0.0;3.35;24.31;150000;215000
2018-01-05T09:00:00+0100;-0.7;4.68;2.71;23.36;158000;210000
2018-01-05T10:00:00+0100;-0.6;30.28;1.85;16.96;154000;210000
2018-01-05T11:00:00+0100;-0.5;42.58;1.6;13.61;154000;210000
2018-01-05T12:00:00+0100;-0.3;49.16;1.23;6.69;154000;213000
2018-01-05T13:00:00+0100;-0.2;58.24;0.95;10.62;147000;201000
2018-01-05T14:00:00+0100;-0.4;38.24;1.21;10.6;148000;201000
2018-01-05T15:00:00+0100;-0.6;2.46;1.25;6.2;81000;121000
2018-01-05T16:00:00+0100;-0.9;-0.01;1.12;1.84;82000;123000
2018-01-05T17:00:00+0100;-1.6;0.0;1.4;2.77;82000;122000
2018-01-05T18:00:00+0100;-2.8;0.0;1.5;5.36;82000;123000
2018-01-05T19:00:00+0100;-3.3;0.0;1.8;1.93;82000;122000
2018-01-05T20:00:00+0100;-2.6;0.0;2.05;353.78;58000;88000
2018-01-05T21:00:00+0100;-3.2;0.0;1.96;350.27;58000;90000
2018-01-05T22:00:00+0100;-4.5;0.0;1.67;348.02;55000;92000
2018-01-05T23:00:00+0100;-5.2;0.0;2.02;345.63;58000;68000
2018-01-06T00:00:00+0100;-6.5;0.0;2.34;345.09;60000;69000
2018-01-06T01:00:00+0100;-6.7;0.0;2.46;342.59;62000;72000
2018-01-06T02:00:00+0100;-6.6;0.0;2.47;339.76;65000;74000
2018-01-06T03:00:00+0100;-6.2;0.0;2.44;328.6;67000;76000
2018-01-06T04:00:00+0100;-6.2;0.0;1.99;311.31;68000;78000
2018-01-06T05:00:00+0100;-5.8;0.0;2.35;323.9;71000;79000
2018-01-06T06:00:00+0100;-6.2;0.0;2.69;332.36;72000;81000
2018-01-06T07:00:00+0100;-6.0;-0.0;2.91;335.71;71000;80000
2018-01-06T08:00:00+0100;-5.2;0.0;3.03;342.04;75000;83000
2018-01-06T09:00:00+0100;-5.8;7.03;3.46;345.01;75000;83000
2018-01-06T10:00:00+0100;-5.7;49.27;2.93;348.31;76000;84000
2018-01-06T11:00:00+0100;-6.5;96.75;3.0;344.78;75000;84000
2018-01-06T12:00:00+0100;-6.4;112.92;3.16;348.28;75000;85000
2018-01-06T13:00:00+0100;-7.5;94.92;4.05;350.5;78000;88000
2018-01-06T14:00:00+0100;-6.7;49.37;2.69;325.37;76000;87000
2018-01-06T15:00:00+0100;-7.8;4.33;3.01;326.11;79000;89000
2018-01-06T16:00:00+0100;-7.5;0.0;3.42;327.82;80000;89000
2018-01-06T17:00:00+0100;-7.5;0.0;4.06;330.24;80000;90000
2018-01-06T18:00:00+0100;-8.6;0.0;4.83;341.41;79000;89000
2018-01-06T19:00:00+0100;-8.5;0.0;4.25;341.31;80000;90000
2018-01-06T20:00:00+0100;-10.1;0.0;4.07;343.83;84000;95000
2018-01-06T21:00:00+0100;-9.6;0.0;4.23;341.54;85000;97000
2018-01-06T22:00:00+0100;-10.7;0.0;3.46;320.58;88000;100000
2018-01-06T23:00:00+0100;-10.7;0.0;3.42;319.92;89000;100000
2018-01-07T00:00:00+0100;-10.3;0.0;3.44;324.67;91000;103000
2018-01-07T01:00:00+0100;-11.4;0.0;3.23;319.03;92000;104000
2018-01-07T02:00:00+0100;-12.3;0.0;3.18;309.31;92000;103000
2018-01-07T03:00:00+0100;-11.7;0.0;2.95;304.88;98000;111000
2018-01-07T04:00:00+0100;-12.0;0.0;2.95;307.11;98000;110000
2018-01-07T05:00:00+0100;-12.5;0.0;3.45;311.23;98000;110000
2018-01-07T06:00:00+0100;-15.0;0.0;2.88;311.31;98000;110000
2018-01-07T07:00:00+0100;-13.0;-0.0;2.98;306.29;97000;110000
2018-01-07T08:00:00+0100;-14.3;0.0;2.94;311.37;98000;110000
2018-01-07T09:00:00+0100;-15.4;6.74;1.88;305.38;98000;110000
2018-01-07T10:00:00+0100;-14.5;42.26;2.29;298.31;98000;110000
2018-01-07T11:00:00+0100;-13.4;62.67;3.03;293.47;98000;111000
2018-01-07T12:00:00+0100;-11.9;69.1;2.68;285.49;100000;111000
2018-01-07T13:00:00+0100;-11.1;60.05;2.18;298.39;100000;112000
2018-01-07T14:00:00+0100;-9.8;33.12;2.2;293.2;108000;120000
2018-01-07T15:00:00+0100;-9.4;3.47;2.93;290.78;100000;111000
2018-01-07T16:00:00+0100;-8.7;0.01;3.87;284.6;102000;114000
2018-01-07T17:00:00+0100;-5.7;0.0;3.74;287.01;102000;112000
2018-01-07T18:00:00+0100;-6.3;0.0;2.82;289.94;106000;117000
2018-01-07T19:00:00+0100;-7.4;0.0;2.7;297.91;105000;116000
2018-01-07T20:00:00+0100;-7.1;0.0;2.69;306.91;105000;116000
2018-01-07T21:00:00+0100;-6.7;0.0;2.8;303.24;99000;109000
2018-01-07T22:00:00+0100;-7.0;0.0;3.45;304.27;98000;108000
2018-01-07T23:00:00+0100;-2.4;0.0;2.98;312.53;196000;212000
2018-01-08T00:00:00+0100;-2.7;0.0;3.58;305.45;96000;106000
2018-01-08T01:00:00+0100;-4.4;0.0;3.56;310.34;96000;105000
2018-01-08T02:00:00+0100;-6.5;0.0;4.26;317.41;97000;150000
2018-01-08T03:00:00+0100;-8.4;0.0;4.68;316.59;108000;164000
2018-01-08T04:00:00+0100;-7.6;0.0;4.46;309.54;106000;163000
2018-01-08T05:00:00+0100;-7.0;0.0;3.65;300.47;106000;160000
2018-01-08T06:00:00+0100;-5.9;0.0;2.23;294.73;186000;241000
2018-01-08T07:00:00+0100;-5.1;-0.0;2.12;298.38;196000;285000
2018-01-08T08:00:00+0100;-4.4;0.0;2.04;307.34;206000;276000
2018-01-08T09:00:00+0100;-4.6;8.21;1.74;109.83;193000;275000
2018-01-08T10:00:00+0100;-5.1;53.65;2.54;322.27;185000;263000
2018-01-08T11:00:00+0100;-2.8;94.19;2.37;310.13;181000;249000
2018-01-08T12:00:00+0100;-3.0;112.21;2.37;324.51;169000;246000
2018-01-08T13:00:00+0100;-3.9;95.4;0.95;311.88;168000;240000
2018-01-08T14:00:00+0100;-5.0;51.48;1.88;315.64;166000;234000
2018-01-08T15:00:00+0100;-5.2;5.64;1.55;328.15;152000;207000
2018-01-08T16:00:00+0100;-6.3;0.0;2.62;337.04;81000;124000
2018-01-08T17:00:00+0100;-6.9;0.0;3.46;338.86;85000;125000
2018-01-08T18:00:00+0100;-7.4;0.0;2.78;347.54;91000;132000
2018-01-08T19:00:00+0100;-6.7;0.0;1.62;323.44;98000;139000
2018-01-08T20:00:00+0100;-6.6;0.0;2.38;333.99;84000;129000
2018-01-08T21:00:00+0100;-7.3;0.0;2.71;311.7;80000;131000
2018-01-08T22:00:00+0100;-8.4;0.0;2.43;317.51;85000;97000
2018-01-08T23:00:00+0100;-8.5;0.0;2.0;311.0;86000;97000
2018-01-09T00:00:00+0100;-10.0;0.0;1.54;302.52;88000;99000
2018-01-09T01:00:00+0100;-11.4;0.0;1.0;318.97;91000;103000
2018-01-09T02:00:00+0100;-11.9;0.0;0.81;327.61;93000;105000
2018-01-09T03:00:00+0100;-12.5;0.0;0.67;318.87;95000;106000
2018-01-09T04:00:00+0100;-11.2;0.0;1.03;327.14;103000;115000
2018-01-09T05:00:00+0100;-10.6;0.0;1.34;319.21;103000;161000
2018-01-09T06:00:00+0100;-10.3;0.0;1.05;318.61;183000;245000
2018-01-09T07:00:00+0100;-10.4;-0.0;0.45;15.08;193000;294000
2018-01-09T08:00:00+0100;-10.7;0.0;0.61;38.49;203000;291000
2018-01-09T09:00:00+0100;-11.2;10.06;0.77;61.74;211000;316000
2018-01-09T10:00:00+0100;-12.0;61.32;2.13;287.16;206000;309000
2018-01-09T11:00:00+0100;-11.3;103.79;1.64;286.09;205000;301000
2018-01-09T12:00:00+0100;-11.0;118.06;1.28;75.95;210000;311000
2018-01-09T13:00:00+0100;-10.9;99.8;1.4;73.26;202000;300000
2018-01-09T14:00:00+0100;-10.8;54.72;1.74;37.67;179000;268000
2018-01-09T15:00:00+0100;-11.5;6.61;2.17;37.83;164000;239000
2018-01-09T16:00:00+0100;-11.4;0.0;2.19;28.15;98000;145000
2018-01-09T17:00:00+0100;-10.3;0.0;2.53;33.28;93000;144000
2018-01-09T18:00:00+0100;-10.5;0.0;2.39;34.16;100000;150000
2018-01-09T19:00:00+0100;-10.2;0.0;2.59;31.03;105000;156000
2018-01-09T20:00:00+0100;-10.6;0.0;2.8;32.93;92000;141000
2018-01-09T21:00:00+0100;-10.8;0.0;2.73;32.55;91000;140000
2018-01-09T22:00:00+0100;-11.7;0.0;3.0;36.1;90000;111000
2018-01-09T23:00:00+0100;-12.0;0.0;2.74;37.36;92000;104000
2018-01-10T00:00:00+0100;-12.4;0.0;2.93;38.23;94000;106000
2018-01-10T01:00:00+0100;-13.0;0.0;2.72;38.51;97000;109000
2018-01-10T02:00:00+0100;-12.4;0.0;2.84;37.92;97000;109000
2018-01-10T03:00:00+0100;-12.7;0.0;2.92;36.96;100000;113000
2018-01-10T04:00:00+0100;-12.9;0.0;3.11;38.54;112000;124000
2018-01-10T05:00:00+0100;-13.0;0.0;3.26;36.7;112000;173000
2018-01-10T06:00:00+0100;-12.9;0.0;3.25;37.19;189000;253000
2018-01-10T07:00:00+0100;-12.8;-0.0;3.49;37.08;199000;307000
2018-01-10T08:00:00+0100;-12.5;0.0;3.41;37.56;209000;305000
2018-01-10T09:00:00+0100;-12.6;5.46;3.47;36.49;213000;316000
2018-01-10T10:00:00+0100;-12.4;24.5;3.49;37.04;215000;316000
2018-01-10T11:00:00+0100;-11.4;23.27;3.38;39.57;211000;304000
2018-01-10T12:00:00+0100;-10.4;35.82;3.26;40.28;213000;311000
2018-01-10T13:00:00+0100;-9.3;23.77;3.12;40.22;205000;293000
2018-01-10T14:00:00+0100;-8.0;21.3;3.35;42.6;185000;266000
2018-01-10T15:00:00+0100;-7.6;1.89;3.17;41.2;164000;232000
2018-01-10T16:00:00+0100;-7.0;0.0;4.22;39.69;91000;135000
2018-01-10T17:00:00+0100;-6.3;0.0;4.07;39.09;99000;139000
2018-01-10T18:00:00+0100;-5.8;0.0;3.54;44.46;99000;140000
2018-01-10T19:00:00+0100;-5.4;0.0;3.27;38.83;96000;140000
2018-01-10T20:00:00+0100;-5.2;0.0;2.89;33.45;85000;129000
2018-01-10T21:00:00+0100;-4.9;0.0;2.64;34.22;91000;128000
2018-01-10T22:00:00+0100;-4.1;0.0;2.41;36.6;83000;94000
2018-01-10T23:00:00+0100;-3.9;0.0;2.08;38.01;82000;92000
2018-01-11T00:00:00+0100;-3.7;0.0;1.77;32.38;84000;93000
2018-01-11T01:00:00+0100;-3.5;0.0;2.15;32.48;84000;91000
2018-01-11T02:00:00+0100;-3.5;0.0;2.13;27.13;85000;95000
2018-01-11T03:00:00+0100;-3.4;0.0;2.04;23.74;86000;94000
2018-01-11T04:00:00+0100;-3.3;0.0;1.52;29.18;98000;107000
2018-01-11T05:00:00+0100;-3.3;0.0;1.42;25.93;96000;142000
2018-01-11T06:00:00+0100;-3.2;0.0;1.39;24.46;173000;212000
2018-01-11T07:00:00+0100;-3.1;-0.0;1.34;25.86;178000;253000
2018-01-11T08:00:00+0100;-3.1;0.0;1.37;20.07;191000;254000
2018-01-11T09:00:00+0100;-3.0;1.45;1.5;28.49;181000;250000
2018-01-11T10:00:00+0100;-2.8;7.67;1.4;29.93;180000;248000
2018-01-11T11:00:00+0100;-2.4;13.88;1.26;22.82;176000;238000
2018-01-11T12:00:00+0100;-2.1;18.38;1.22;28.05;173000;240000
2018-01-11T13:00:00+0100;-2.0;15.61;1.19;27.56;171000;233000
2018-01-11T14:00:00+0100;-1.9;9.46;1.24;29.06;162000;217000
2018-01-11T15:00:00+0100;-1.7;2.51;1.16;26.56;139000;189000
2018-01-11T16:00:00+0100;-2.0;0.0;1.1;37.68;80000;111000
2018-01-11T17:00:00+0100;-2.0;0.0;1.11;26.61;82000;112000
2018-01-11T18:00:00+0100;-2.0;0.0;1.21;37.74;87000;116000
2018-01-11T19:00:00+0100;-2.1;0.0;1.22;36.39;84000;119000
2018-01-11T20:00:00+0100;-2.0;0.0;1.07;26.9;72000;107000
2018-01-11T21:00:00+0100;-2.1;0.0;1.24;44.4;72000;107000
2018-01-11T22:00:00+0100;-1.9;0.0;1.41;57.98;72000;82000
2018-01-11T23:00:00+0100;-1.7;0.0;1.58;61.17;74000;83000
2018-01-12T00:00:00+0100;-2.4;0.0;1.5;59.36;72000;81000
2018-01-12T01:00:00+0100;-3.2;0.0;1.59;62.06;72000;82000
2018-01-12T02:00:00+0100;-3.5;0.0;1.44;52.95;73000;82000
2018-01-12T03:00:00+0100;-3.6;0.0;1.46;47.27;74000;83000
2018-01-12T04:00:00+0100;-5.0;0.0;0.93;30.31;89000;99000
2018-01-12T05:00:00+0100;-4.22;0.0;0.97;40.74;89000;132000
2018-01-12T06:00:00+0100;-5.5;-0.0;1.12;42.62;169000;210000
2018-01-12T07:00:00+0100;-4.6;0.0;1.19;51.69;175000;248000
2018-01-12T08:00:00+0100;-4.4;0.0;1.19;50.38;182000;242000
2018-01-12T09:00:00+0100;-4.1;11.28;0.96;39.58;173000;241000
2018-01-12T10:00:00+0100;-3.5;58.16;1.77;29.39;171000;239000
2018-01-12T11:00:00+0100;-2.4;101.42;1.66;30.1;169000;230000
2018-01-12T12:00:00+0100;-2.4;122.67;1.38;39.39;160000;226000
2018-01-12T13:00:00+0100;-2.5;106.47;1.19;32.64;161000;222000
2018-01-12T14:00:00+0100;-2.4;61.48;1.38;17.45;143000;203000
2018-01-12T15:00:00+0100;-2.6;8.74;1.95;17.62;131000;184000
2018-01-12T16:00:00+0100;-2.6;0.0;2.15;12.99;73000;109000
2018-01-12T17:00:00+0100;-2.7;0.0;1.75;30.55;76000;104000
2018-01-12T18:00:00+0100;-2.9;0.0;1.53;31.36;82000;114000
2018-01-12T19:00:00+0100;-3.0;0.0;1.48;27.24;69000;106000
2018-01-12T20:00:00+0100;-3.1;0.0;1.55;15.49;65000;103000
2018-01-12T21:00:00+0100;-3.0;0.0;1.51;18.63;67000;103000
2018-01-12T22:00:00+0100;-3.2;0.0;1.39;26.87;69000;80000
2018-01-12T23:00:00+0100;-3.1;0.0;1.12;34.8;69000;79000
2018-01-13T00:00:00+0100;-3.2;0.0;1.08;33.7;67000;74000
2018-01-13T01:00:00+0100;-3.2;0.0;1.11;32.92;67000;76000
2018-01-13T02:00:00+0100;-3.2;0.0;1.09;43.74;68000;76000
2018-01-13T03:00:00+0100;-3.2;0.0;1.05;45.76;69000;78000
2018-01-13T04:00:00+0100;-3.2;0.0;1.05;47.34;69000;78000
2018-01-13T05:00:00+0100;-3.2;0.0;1.24;45.6;71000;79000
2018-01-13T06:00:00+0100;-3.2;-0.0;1.17;50.74;72000;81000
2018-01-13T07:00:00+0100;-3.2;0.0;1.49;53.45;75000;83000
2018-01-13T08:00:00+0100;-3.2;0.0;1.84;59.93;80000;89000
2018-01-13T09:00:00+0100;-3.2;2.35;1.89;64.56;81000;89000
2018-01-13T10:00:00+0100;-3.1;13.33;1.94;54.34;79000;88000
2018-01-13T11:00:00+0100;-2.8;17.71;1.79;56.4;81000;89000
2018-01-13T12:00:00+0100;-2.7;44.18;1.57;71.2;85000;94000
2018-01-13T13:00:00+0100;-2.5;47.45;1.06;82.77;86000;94000
2018-01-13T14:00:00+0100;-2.5;24.75;1.0;79.58;85000;94000
2018-01-13T15:00:00+0100;-2.3;2.01;1.13;77.63;84000;93000
2018-01-13T16:00:00+0100;-1.9;0.0;1.44;60.94;84000;92000
2018-01-13T17:00:00+0100;-1.9;0.0;1.4;64.82;82000;91000
2018-01-13T18:00:00+0100;-1.9;0.0;1.48;59.14;84000;92000
2018-01-13T19:00:00+0100;-2.4;0.0;1.49;59.41;84000;93000
2018-01-13T20:00:00+0100;-2.4;0.0;1.41;65.69;86000;95000
2018-01-13T21:00:00+0100;-2.7;0.0;1.25;53.75;85000;94000
2018-01-13T22:00:00+0100;-3.0;0.0;1.61;55.07;86000;95000
2018-01-13T23:00:00+0100;-2.4;0.0;1.37;45.49;85000;94000
2018-01-14T00:00:00+0100;-2.4;0.0;1.16;45.84;85000;94000
2018-01-14T01:00:00+0100;-2.2;0.0;1.0;58.95;78000;88000
2018-01-14T02:00:00+0100;-2.3;0.0;1.21;65.06;80000;88000
2018-01-14T03:00:00+0100;-2.4;0.0;1.37;55.07;81000;90000
2018-01-14T04:00:00+0100;-3.1;0.0;1.02;56.74;78000;87000
2018-01-14T05:00:00+0100;-3.3;0.0;1.32;57.14;81000;89000
2018-01-14T06:00:00+0100;-3.0;-0.0;1.32;59.77;78000;88000
2018-01-14T07:00:00+0100;-2.8;0.0;1.16;67.15;81000;90000
2018-01-14T08:00:00+0100;-2.8;0.0;1.1;79.41;88000;97000
2018-01-14T09:00:00+0100;-2.8;3.35;0.82;85.74;88000;96000
