Header_line;22
location;Drammen - Norway
year_of_construction;2013
floor_area;1429
number_of_users;96
building_category;Kdg
energy_label;C
central_heating_system;1
dhw_heat_source;GSHP,EB
sh_heat_source;GSHP,EB
ventilation_heat_source;GSHP,EB
ventilation_types;CAV_sch
night_setback;1
lighting_control;1
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6421

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity use;Electricity import;Heat production
;C;W/m2;m/s;deg;Wh;Wh;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity for electric boiler;Electricity imported ;Heat from heat pumps
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElBoil;ElImp;HtHP
2018-01-01T00:00:00+0100;-2.16;0.0;1.16;290.7;0.0;27000.0;40000.0
2018-01-01T01:00:00+0100;-1.98;0.0;0.67;276.37;0.0;28000.0;40000.0
2018-01-01T02:00:00+0100;-2.12;0.0;0.74;246.42;0.0;27000.0;50000.0
2018-01-01T03:00:00+0100;-1.76;0.0;1.05;244.09;0.0;28000.0;40000.0
2018-01-01T04:00:00+0100;-1.65;0.0;0.82;240.66;0.0;29000.0;50000.0
2018-01-01T05:00:00+0100;-1.39;0.0;1.17;238.52;0.0;27000.0;40000.0
2018-01-01T06:00:00+0100;-1.08;0.0;1.82;201.01;0.0;27000.0;40000.0
2018-01-01T07:00:00+0100;-1.08;-0.0;1.84;225.12;0.0;26000.0;40000.0
2018-01-01T08:00:00+0100;-1.1;0.0;2.18;219.55;0.0;27000.0;40000.0
2018-01-01T09:00:00+0100;-0.95;5.49;1.16;234.18;0.0;27000.0;40000.0
2018-01-01T10:00:00+0100;-1.3;43.25;1.14;256.44;0.0;23000.0;40000.0
2018-01-01T11:00:00+0100;-0.58;46.56;1.82;253.34;0.0;26000.0;40000.0
2018-01-01T12:00:00+0100;-0.21;61.16;1.15;260.08;0.0;29000.0;40000.0
2018-01-01T13:00:00+0100;-0.25;46.31;1.32;226.28;0.0;25000.0;30000.0
2018-01-01T14:00:00+0100;-0.0;20.94;1.3;256.2;0.0;27000.0;40000.0
2018-01-01T15:00:00+0100;0.32;1.17;1.19;243.08;0.0;25000.0;30000.0
2018-01-01T16:00:00+0100;0.02;0.0;1.54;233.31;0.0;27000.0;40000.0
2018-01-01T17:00:00+0100;-0.31;0.0;1.01;234.55;0.0;27000.0;40000.0
2018-01-01T18:00:00+0100;0.02;0.0;0.71;234.68;0.0;26000.0;40000.0
2018-01-01T19:00:00+0100;-0.15;0.0;2.11;261.24;0.0;27000.0;40000.0
2018-01-01T20:00:00+0100;-0.41;0.0;1.34;249.02;0.0;23000.0;40000.0
2018-01-01T21:00:00+0100;-0.32;0.0;1.65;261.42;0.0;27000.0;40000.0
2018-01-01T22:00:00+0100;-0.0;0.0;0.91;315.31;0.0;27000.0;40000.0
2018-01-01T23:00:00+0100;0.2;0.0;1.9;266.16;0.0;25000.0;30000.0
2018-01-02T00:00:00+0100;0.1;0.0;2.15;277.31;0.0;27000.0;40000.0
2018-01-02T01:00:00+0100;-0.04;0.0;2.43;281.44;0.0;26000.0;40000.0
2018-01-02T02:00:00+0100;-0.62;0.0;3.79;286.28;0.0;27000.0;40000.0
2018-01-02T03:00:00+0100;-0.97;0.0;4.19;281.34;0.0;28000.0;50000.0
2018-01-02T04:00:00+0100;-1.07;0.0;3.16;280.27;0.0;27000.0;30000.0
2018-01-02T05:00:00+0100;-1.15;0.0;3.19;284.22;0.0;26000.0;50000.0
2018-01-02T06:00:00+0100;-1.53;0.0;3.33;285.08;0.0;29000.0;40000.0
2018-01-02T07:00:00+0100;-1.95;-0.0;3.26;278.57;0.0;36000.0;40000.0
2018-01-02T08:00:00+0100;-2.41;0.0;3.09;283.16;0.0;36000.0;50000.0
2018-01-02T09:00:00+0100;-2.66;6.6;2.63;283.89;0.0;37000.0;40000.0
2018-01-02T10:00:00+0100;-2.87;50.33;3.3;281.03;0.0;36000.0;40000.0
2018-01-02T11:00:00+0100;-2.74;88.04;2.53;277.68;0.0;35000.0;30000.0
