Header_line;24
location;Drammen - Norway
year_of_construction;1988
floor_area;3250
number_of_users;39
building_category;Nsh
energy_label;C
notes;Renovated in 2001. Closed in 2022
central_heating_system;0
dhw_heat_source;HWH
sh_heat_source;EH,EFH
ventilation_heat_source;EHB
cooling_source;DX
ventilation_types;CAV_sch
night_setback;1
lighting_control;0
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6423

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity import
;C;W/m2;m/s;deg;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity imported 
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElImp
2018-01-01T00:00:00+0100;-1.8;0.0;0.64;332.19;97000.0
2018-01-01T01:00:00+0100;-1.5;0.0;1.17;51.11;88000.0
2018-01-01T02:00:00+0100;-1.4;0.0;1.71;64.45;88000.0
2018-01-01T03:00:00+0100;-1.3;0.0;1.7;77.82;87000.0
2018-01-01T04:00:00+0100;-1.3;0.0;1.41;126.91;89000.0
2018-01-01T05:00:00+0100;-0.9;0.0;2.1;175.79;94000.0
2018-01-01T06:00:00+0100;-0.7;0.0;2.87;175.46;87000.0
2018-01-01T07:00:00+0100;-0.4;-0.0;2.52;183.72;99000.0
2018-01-01T08:00:00+0100;-0.2;0.0;1.39;97.36;121000.0
2018-01-01T09:00:00+0100;-0.3;5.62;1.93;148.94;132000.0
2018-01-01T10:00:00+0100;-0.2;46.89;2.17;219.47;138000.0
2018-01-01T11:00:00+0100;0.7;78.21;1.18;223.1;135000.0
2018-01-01T12:00:00+0100;0.6;79.06;0.73;11.99;138000.0
2018-01-01T13:00:00+0100;0.8;53.71;0.97;80.58;150000.0
2018-01-01T14:00:00+0100;0.7;25.72;0.86;13.93;146000.0
2018-01-01T15:00:00+0100;0.4;1.08;0.65;353.6;144000.0
2018-01-01T16:00:00+0100;0.2;0.0;1.05;154.78;129000.0
2018-01-01T17:00:00+0100;0.3;0.0;1.43;178.58;107000.0
2018-01-01T18:00:00+0100;0.1;0.0;0.81;351.13;116000.0
2018-01-01T19:00:00+0100;-0.0;0.0;2.09;318.02;120000.0
2018-01-01T20:00:00+0100;-0.8;0.0;1.61;303.57;114000.0
2018-01-01T21:00:00+0100;-0.5;0.0;2.24;310.46;108000.0
2018-01-01T22:00:00+0100;-0.4;0.0;1.15;316.27;108000.0
2018-01-01T23:00:00+0100;-0.7;0.0;2.9;306.82;95000.0
2018-01-02T00:00:00+0100;-0.9;0.0;3.17;307.48;92000.0
2018-01-02T01:00:00+0100;-2.4;0.0;3.8;299.4;91000.0
2018-01-02T02:00:00+0100;-3.9;0.0;4.73;299.96;90000.0
2018-01-02T03:00:00+0100;-3.2;0.0;4.32;302.17;87000.0
2018-01-02T04:00:00+0100;-2.3;0.0;3.92;303.58;84000.0
2018-01-02T05:00:00+0100;-1.6;0.0;4.15;305.46;88000.0
2018-01-02T06:00:00+0100;-3.4;0.0;4.09;303.77;89000.0
2018-01-02T07:00:00+0100;-5.6;-0.0;3.35;309.94;98000.0
2018-01-02T08:00:00+0100;-6.1;0.0;3.61;312.47;125000.0
2018-01-02T09:00:00+0100;-5.4;6.66;3.58;309.5;153000.0
2018-01-02T10:00:00+0100;-4.9;50.96;3.95;305.7;170000.0
2018-01-02T11:00:00+0100;-4.0;89.32;4.03;295.52;163000.0
2018-01-02T12:00:00+0100;-3.8;98.61;3.95;301.43;162000.0
2018-01-02T13:00:00+0100;-2.9;79.89;3.11;300.56;159000.0
2018-01-02T14:00:00+0100;-2.6;40.52;2.87;305.04;154000.0
2018-01-02T15:00:00+0100;-2.8;2.26;2.86;305.39;153000.0
2018-01-02T16:00:00+0100;-5.1;-0.01;3.38;304.2;140000.0
2018-01-02T17:00:00+0100;-6.1;0.0;3.26;301.75;111000.0
2018-01-02T18:00:00+0100;-7.4;0.0;2.97;305.46;116000.0
2018-01-02T19:00:00+0100;-8.2;0.0;2.7;302.9;120000.0
2018-01-02T20:00:00+0100;-9.1;0.0;2.84;296.31;116000.0
2018-01-02T21:00:00+0100;-9.4;0.0;2.47;299.48;119000.0
