Header_line;21
location;Drammen - Norway
year_of_construction;1918
floor_area;740
number_of_users;50
building_category;Kdg
central_heating_system;0
dhw_heat_source;HWH
sh_heat_source;EFH
ventilation_heat_source;EHB
ventilation_types;CAV_sch
night_setback;1
lighting_control;0
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6425

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity import
;C;W/m2;m/s;deg;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity imported 
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElImp
2018-01-01T00:00:00+0100;-2.72;0.0;1.13;38.64;20000.0
2018-01-01T01:00:00+0100;-2.66;0.0;1.04;39.93;21000.0
2018-01-01T02:00:00+0100;-2.41;0.0;0.91;53.54;22000.0
2018-01-01T03:00:00+0100;-2.42;0.0;0.65;47.1;20000.0
2018-01-01T04:00:00+0100;-1.9;0.0;0.55;60.47;20000.0
2018-01-01T05:00:00+0100;-1.82;0.0;0.42;110.52;22000.0
2018-01-01T06:00:00+0100;-1.66;0.0;0.46;134.33;20000.0
2018-01-01T07:00:00+0100;-1.91;-0.0;1.22;300.59;20000.0
2018-01-01T08:00:00+0100;-1.72;0.0;1.49;225.74;21000.0
2018-01-01T09:00:00+0100;-1.84;5.42;0.75;40.6;20000.0
2018-01-01T10:00:00+0100;-1.43;46.1;0.86;10.83;20000.0
2018-01-01T11:00:00+0100;-1.14;70.95;0.6;186.33;20000.0
2018-01-01T12:00:00+0100;-0.94;57.83;0.38;253.07;20000.0
2018-01-01T13:00:00+0100;-0.6;54.04;0.83;176.88;21000.0
2018-01-01T14:00:00+0100;-0.97;24.43;0.57;151.43;19000.0
2018-01-01T15:00:00+0100;-0.3;1.08;0.46;223.95;20000.0
2018-01-01T16:00:00+0100;-0.6;0.0;1.17;238.37;21000.0
2018-01-01T17:00:00+0100;-0.38;0.0;0.92;269.31;18000.0
2018-01-01T18:00:00+0100;-0.23;0.0;0.61;283.52;20000.0
2018-01-01T19:00:00+0100;-0.44;0.0;1.52;262.55;20000.0
2018-01-01T20:00:00+0100;-0.22;0.0;0.84;237.92;21000.0
2018-01-01T21:00:00+0100;-0.36;0.0;0.9;251.2;19000.0
2018-01-01T22:00:00+0100;-0.13;0.0;0.43;320.72;19000.0
2018-01-01T23:00:00+0100;-0.04;0.0;1.7;255.98;21000.0
2018-01-02T00:00:00+0100;-0.32;0.0;2.07;261.46;19000.0
2018-01-02T01:00:00+0100;-0.67;0.0;2.52;268.24;21000.0
2018-01-02T02:00:00+0100;-0.92;0.0;3.3;268.94;19000.0
2018-01-02T03:00:00+0100;-1.15;0.0;3.4;264.0;20000.0
2018-01-02T04:00:00+0100;-1.42;0.0;2.63;263.06;20000.0
2018-01-02T05:00:00+0100;-1.36;0.0;3.25;267.38;19000.0
2018-01-02T06:00:00+0100;-1.77;0.0;3.09;269.11;21000.0
2018-01-02T07:00:00+0100;-2.3;-0.0;2.69;265.16;24000.0
2018-01-02T08:00:00+0100;-2.31;0.0;2.48;268.36;24000.0
2018-01-02T09:00:00+0100;-2.59;6.48;2.52;277.61;26000.0
2018-01-02T10:00:00+0100;-2.53;50.31;3.05;262.26;25000.0
2018-01-02T11:00:00+0100;-2.8;88.24;3.16;256.49;23000.0
2018-01-02T12:00:00+0100;-2.27;96.91;2.71;268.92;24000.0
2018-01-02T13:00:00+0100;-2.0;76.3;1.88;263.8;24000.0
2018-01-02T14:00:00+0100;-1.08;39.73;1.93;266.48;23000.0
2018-01-02T15:00:00+0100;-1.23;2.08;2.05;262.49;23000.0
2018-01-02T16:00:00+0100;-2.13;0.0;2.76;259.98;22000.0
2018-01-02T17:00:00+0100;-3.0;0.0;2.35;259.81;21000.0
2018-01-02T18:00:00+0100;-3.5;0.0;1.99;261.16;20000.0
2018-01-02T19:00:00+0100;-4.04;0.0;1.8;253.72;22000.0
2018-01-02T20:00:00+0100;-4.33;0.0;2.08;262.27;19000.0
2018-01-02T21:00:00+0100;-4.48;0.0;1.79;255.7;20000.0
2018-01-02T22:00:00+0100;-4.73;0.0;1.4;250.64;21000.0
