Header_line;22
location;Drammen - Norway
year_of_construction;1987
floor_area;206
number_of_users;22
building_category;Kdg
notes;Closed in 2022
central_heating_system;0
dhw_heat_source;HWH
sh_heat_source;EFH,EH
ventilation_heat_source;EHB
ventilation_types;CAV_sch
night_setback;0
lighting_control;0
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6426

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity import
;C;W/m2;m/s;deg;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity imported 
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElImp
2018-01-01T00:00:00+0100;-2.58;0.0;0.81;38.64;6000.0
2018-01-01T01:00:00+0100;-2.61;0.0;0.75;39.93;6000.0
2018-01-01T02:00:00+0100;-2.31;0.0;0.75;53.54;6000.0
2018-01-01T03:00:00+0100;-2.27;0.0;0.42;47.1;5000.0
2018-01-01T04:00:00+0100;-2.14;0.0;0.35;60.47;5000.0
2018-01-01T05:00:00+0100;-1.81;0.0;0.19;110.52;5000.0
2018-01-01T06:00:00+0100;-1.62;0.0;0.32;134.33;6000.0
2018-01-01T07:00:00+0100;-1.84;-0.0;0.85;300.59;5000.0
2018-01-01T08:00:00+0100;-1.77;0.0;1.26;225.74;6000.0
2018-01-01T09:00:00+0100;-1.51;5.42;0.82;40.6;5000.0
2018-01-01T10:00:00+0100;-1.49;46.1;0.8;10.83;6000.0
2018-01-01T11:00:00+0100;-0.88;70.95;0.56;186.33;5000.0
2018-01-01T12:00:00+0100;-0.6;57.83;0.28;253.07;6000.0
2018-01-01T13:00:00+0100;-0.41;54.04;0.93;176.88;4000.0
2018-01-01T14:00:00+0100;-0.49;24.43;0.65;151.43;5000.0
2018-01-01T15:00:00+0100;-0.04;1.08;0.43;223.95;6000.0
2018-01-01T16:00:00+0100;-0.34;0.0;1.35;238.37;4000.0
2018-01-01T17:00:00+0100;-0.2;0.0;0.89;269.31;4000.0
2018-01-01T18:00:00+0100;-0.24;0.0;0.49;283.52;5000.0
2018-01-01T19:00:00+0100;-0.29;0.0;1.4;262.55;4000.0
2018-01-01T20:00:00+0100;-0.18;0.0;0.55;237.92;5000.0
2018-01-01T21:00:00+0100;-0.22;0.0;0.67;251.2;4000.0
2018-01-01T22:00:00+0100;-0.12;0.0;0.28;320.72;4000.0
2018-01-01T23:00:00+0100;-0.05;0.0;1.72;255.98;5000.0
2018-01-02T00:00:00+0100;-0.1;0.0;2.01;261.46;4000.0
2018-01-02T01:00:00+0100;-0.36;0.0;2.31;268.24;6000.0
2018-01-02T02:00:00+0100;-0.76;0.0;3.27;268.94;4000.0
2018-01-02T03:00:00+0100;-1.14;0.0;3.48;264.0;4000.0
2018-01-02T04:00:00+0100;-1.48;0.0;2.64;263.06;4000.0
2018-01-02T05:00:00+0100;-1.51;0.0;3.08;267.38;5000.0
2018-01-02T06:00:00+0100;-1.94;0.0;3.05;269.11;8000.0
2018-01-02T07:00:00+0100;-2.8;-0.0;2.71;265.16;18000.0
2018-01-02T08:00:00+0100;-3.22;0.0;2.5;268.36;19000.0
2018-01-02T09:00:00+0100;-3.33;6.48;2.41;277.61;19000.0
2018-01-02T10:00:00+0100;-3.13;50.31;3.06;262.26;19000.0
2018-01-02T11:00:00+0100;-3.49;88.24;3.13;256.49;18000.0
2018-01-02T12:00:00+0100;-3.17;96.91;2.73;268.92;19000.0
2018-01-02T13:00:00+0100;-2.69;76.3;1.82;263.8;19000.0
2018-01-02T14:00:00+0100;-1.95;39.73;1.94;266.48;18000.0
2018-01-02T15:00:00+0100;-1.92;2.08;2.08;262.49;19000.0
2018-01-02T16:00:00+0100;-2.58;0.0;2.82;259.98;17000.0
2018-01-02T17:00:00+0100;-3.54;0.0;2.4;259.81;18000.0
2018-01-02T18:00:00+0100;-4.18;0.0;2.08;261.16;8000.0
2018-01-02T19:00:00+0100;-4.77;0.0;2.02;253.72;8000.0
2018-01-02T20:00:00+0100;-5.2;0.0;2.6;262.27;6000.0
2018-01-02T21:00:00+0100;-5.59;0.0;2.33;255.7;7000.0
2018-01-02T22:00:00+0100;-5.89;0.0;1.68;250.64;7000.0
