Header_line;22
location;Drammen - Norway
year_of_construction;1987
floor_area;535
number_of_users;68
building_category;Kdg
notes;Renovated/expanded in 2004
central_heating_system;0
dhw_heat_source;HWH
sh_heat_source;EFH
ventilation_heat_source;EHB
ventilation_types;CAV_sch
night_setback;0
lighting_control;0
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6428

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity import
;C;W/m2;m/s;deg;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity imported 
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElImp
2018-01-01T00:00:00+0100;-1.88;0.0;1.16;290.7;12000.0
2018-01-01T01:00:00+0100;-1.82;0.0;0.77;276.37;13000.0
2018-01-01T02:00:00+0100;-1.95;0.0;0.8;246.42;12000.0
2018-01-01T03:00:00+0100;-1.64;0.0;1.16;244.09;14000.0
2018-01-01T04:00:00+0100;-1.32;0.0;1.04;240.66;14000.0
2018-01-01T05:00:00+0100;-1.15;0.0;1.41;238.52;11000.0
2018-01-01T06:00:00+0100;-0.93;0.0;2.05;201.01;11000.0
2018-01-01T07:00:00+0100;-0.41;-0.0;2.47;225.12;11000.0
2018-01-01T08:00:00+0100;-0.53;0.0;2.83;219.55;14000.0
2018-01-01T09:00:00+0100;-0.65;5.49;2.03;234.18;14000.0
2018-01-01T10:00:00+0100;-0.79;43.25;1.55;256.44;16000.0
2018-01-01T11:00:00+0100;-0.06;46.56;1.84;253.34;15000.0
2018-01-01T12:00:00+0100;0.45;61.16;1.33;260.08;15000.0
2018-01-01T13:00:00+0100;0.5;46.31;1.37;226.28;15000.0
2018-01-01T14:00:00+0100;0.36;20.94;1.34;256.2;14000.0
2018-01-01T15:00:00+0100;0.52;1.17;1.33;243.08;16000.0
2018-01-01T16:00:00+0100;0.1;0.0;1.85;233.31;17000.0
2018-01-01T17:00:00+0100;0.01;0.0;1.5;234.55;15000.0
2018-01-01T18:00:00+0100;0.12;0.0;1.08;234.68;13000.0
2018-01-01T19:00:00+0100;0.08;0.0;2.25;261.24;13000.0
2018-01-01T20:00:00+0100;-0.06;0.0;1.67;249.02;13000.0
2018-01-01T21:00:00+0100;-0.39;0.0;2.15;261.42;12000.0
2018-01-01T22:00:00+0100;-0.07;0.0;1.11;315.31;14000.0
2018-01-01T23:00:00+0100;0.19;0.0;2.45;266.16;13000.0
2018-01-02T00:00:00+0100;0.22;0.0;2.59;277.31;12000.0
2018-01-02T01:00:00+0100;-0.07;0.0;3.13;281.44;11000.0
2018-01-02T02:00:00+0100;-0.66;0.0;4.36;286.28;11000.0
2018-01-02T03:00:00+0100;-0.79;0.0;4.54;281.34;10000.0
2018-01-02T04:00:00+0100;-0.93;0.0;3.71;280.27;11000.0
2018-01-02T05:00:00+0100;-0.85;0.0;3.71;284.22;13000.0
2018-01-02T06:00:00+0100;-0.84;0.0;3.45;285.08;12000.0
2018-01-02T07:00:00+0100;-1.26;-0.0;3.41;278.57;16000.0
2018-01-02T08:00:00+0100;-1.82;0.0;3.4;283.16;25000.0
2018-01-02T09:00:00+0100;-2.05;6.6;2.99;283.89;22000.0
2018-01-02T10:00:00+0100;-2.22;50.33;3.65;281.03;25000.0
2018-01-02T11:00:00+0100;-2.3;88.04;3.01;277.68;24000.0
2018-01-02T12:00:00+0100;-1.77;97.37;2.9;284.45;20000.0
2018-01-02T13:00:00+0100;-1.92;77.87;2.85;279.41;25000.0
2018-01-02T14:00:00+0100;-1.11;39.47;2.71;280.02;25000.0
2018-01-02T15:00:00+0100;-0.91;2.07;2.97;278.0;27000.0
2018-01-02T16:00:00+0100;-1.59;0.01;3.14;273.5;24000.0
2018-01-02T17:00:00+0100;-2.6;0.0;2.81;275.64;24000.0
2018-01-02T18:00:00+0100;-2.91;0.0;2.7;275.3;21000.0
2018-01-02T19:00:00+0100;-3.31;0.0;2.35;273.55;14000.0
2018-01-02T20:00:00+0100;-3.44;0.0;2.45;271.03;13000.0
2018-01-02T21:00:00+0100;-3.58;0.0;2.49;270.47;14000.0
2018-01-02T22:00:00+0100;-3.72;0.0;2.0;265.1;13000.0
