Header_line;22
location;Drammen - Norway
year_of_construction;1800
floor_area;1396
number_of_users;98
building_category;Kdg
notes;Renovated/expanded in 2010
central_heating_system;1
dhw_heat_source;HWH
sh_heat_source;DH,ASHP
ventilation_heat_source;EHB
ventilation_types;CAV_sch
night_setback;1
lighting_control;1
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6429

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity import;Heat import;Heat use
;C;W/m2;m/s;deg;Wh;Wh;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity imported ;Imported District Heating;Heat Total = HtSpace + HtDHW
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElImp;HtDH;HtTot
2018-01-01T00:00:00+0100;-2.66;0.0;1.07;38.64;2000.0;27000.0;27000.0
2018-01-01T01:00:00+0100;-2.6;0.0;0.96;39.93;2000.0;28000.0;28000.0
2018-01-01T02:00:00+0100;-2.45;0.0;0.86;53.54;2000.0;26000.0;26000.0
2018-01-01T03:00:00+0100;-2.49;0.0;0.38;47.1;2000.0;27000.0;27000.0
2018-01-01T04:00:00+0100;-2.2;0.0;0.28;60.47;1000.0;27000.0;27000.0
2018-01-01T05:00:00+0100;-1.96;0.0;0.19;110.52;3000.0;25000.0;25000.0
2018-01-01T06:00:00+0100;-1.89;0.0;0.21;134.33;2000.0;25000.0;25000.0
2018-01-01T07:00:00+0100;-1.98;-0.0;0.69;300.59;2000.0;27000.0;27000.0
2018-01-01T08:00:00+0100;-2.01;0.0;1.18;225.74;2000.0;26000.0;26000.0
2018-01-01T09:00:00+0100;-1.82;5.42;0.67;40.6;2000.0;25000.0;25000.0
2018-01-01T10:00:00+0100;-1.31;46.1;0.71;10.83;1000.0;24000.0;24000.0
2018-01-01T11:00:00+0100;-0.96;70.95;0.51;186.33;2000.0;23000.0;23000.0
2018-01-01T12:00:00+0100;-0.79;57.83;0.28;253.07;2000.0;24000.0;24000.0
2018-01-01T13:00:00+0100;-0.63;54.04;0.89;176.88;1000.0;23000.0;23000.0
2018-01-01T14:00:00+0100;-0.81;24.43;0.66;151.43;3000.0;22000.0;22000.0
2018-01-01T15:00:00+0100;-0.42;1.08;0.42;223.95;2000.0;24000.0;24000.0
2018-01-01T16:00:00+0100;-0.68;0.0;1.16;238.37;2000.0;25000.0;25000.0
2018-01-01T17:00:00+0100;-0.56;0.0;0.75;269.31;1000.0;24000.0;24000.0
