Header_line;23
location;Drammen - Norway
year_of_construction;1961
floor_area;5273
number_of_users;170
building_category;Sch
energy_label;B
central_heating_system;1
dhw_heat_source;SC,HWH
sh_heat_source;GSHP,EB
ventilation_heat_source;GSHP,EB
snow_melt_heat_source;None
ventilation_types;DCV
night_setback;1
lighting_control;1
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6432

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity import;Heat use;Heat production;Heat production
;C;W/m2;m/s;deg;Wh;Wh;Wh;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity imported ;Space heating = HtRoom + HtVent;Heat from heat pumps;Solar collector heat produced
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElImp;HtSpace;HtHP;HtSC
2018-01-01T00:00:00+0100;-2.2;0.0;1.19;312.69;29000.0;40000.0;0.0;0.0
2018-01-01T01:00:00+0100;-2.12;0.0;0.78;313.32;29000.0;30000.0;100000.0;0.0
2018-01-01T02:00:00+0100;-2.21;0.0;0.54;349.24;28000.0;30000.0;0.0;0.0
2018-01-01T03:00:00+0100;-1.97;0.0;0.7;353.57;29000.0;30000.0;0.0;0.0
2018-01-01T04:00:00+0100;-1.62;0.0;0.7;62.23;29000.0;30000.0;100000.0;0.0
2018-01-01T05:00:00+0100;-1.95;0.0;0.96;211.33;48000.0;40000.0;100000.0;0.0
2018-01-01T06:00:00+0100;-1.39;0.0;1.66;185.76;34000.0;30000.0;0.0;0.0
2018-01-01T07:00:00+0100;-0.93;-0.0;2.44;202.93;28000.0;30000.0;0.0;0.0
2018-01-01T08:00:00+0100;-0.8;0.0;2.94;202.74;34000.0;30000.0;100000.0;0.0
2018-01-01T09:00:00+0100;-0.67;5.62;2.72;209.41;31000.0;30000.0;0.0;0.0
2018-01-01T10:00:00+0100;-0.37;32.86;1.74;212.83;27000.0;20000.0;0.0;0.0
2018-01-01T11:00:00+0100;0.02;47.72;1.62;254.16;26000.0;20000.0;0.0;0.0
2018-01-01T12:00:00+0100;0.33;61.44;1.2;279.75;31000.0;20000.0;100000.0;0.0
2018-01-01T13:00:00+0100;0.45;52.87;1.4;206.49;29000.0;30000.0;0.0;0.0
2018-01-01T14:00:00+0100;0.42;22.77;1.33;236.23;31000.0;30000.0;0.0;0.0
