Header_line;21
location;Drammen - Norway
year_of_construction;1997
floor_area;864
number_of_users;90
building_category;Kdg
central_heating_system;0
dhw_heat_source;HWH
sh_heat_source;EFH,EH
ventilation_heat_source;EHB
ventilation_types;CAV_sch
night_setback;0
lighting_control;0
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6433

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity import
;C;W/m2;m/s;deg;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity imported 
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElImp
2018-01-01T00:00:00+0100;-1.8;0.0;0.81;121.97;22000.0
2018-01-01T01:00:00+0100;-1.5;0.0;1.38;103.2;24000.0
2018-01-01T02:00:00+0100;-1.4;0.0;1.93;108.19;24000.0
2018-01-01T03:00:00+0100;-1.3;0.0;1.9;110.08;24000.0
2018-01-01T04:00:00+0100;-1.3;0.0;1.79;115.11;23000.0
2018-01-01T05:00:00+0100;-0.9;0.0;2.21;153.11;24000.0
2018-01-01T06:00:00+0100;-0.7;0.0;2.95;164.19;23000.0
2018-01-01T07:00:00+0100;-0.4;-0.0;2.16;171.75;21000.0
2018-01-01T08:00:00+0100;-0.2;0.0;1.33;151.72;20000.0
2018-01-01T09:00:00+0100;-0.3;5.39;2.6;186.04;21000.0
2018-01-01T10:00:00+0100;-0.2;45.98;2.84;211.29;19000.0
2018-01-01T11:00:00+0100;0.7;76.12;2.12;211.05;20000.0
2018-01-01T12:00:00+0100;0.6;76.02;0.75;182.41;21000.0
2018-01-01T13:00:00+0100;0.8;52.68;1.13;162.88;21000.0
2018-01-01T14:00:00+0100;0.7;21.92;1.01;188.41;17000.0
2018-01-01T15:00:00+0100;0.4;1.05;0.74;231.13;17000.0
2018-01-01T16:00:00+0100;0.2;0.0;1.96;197.79;15000.0
2018-01-01T17:00:00+0100;0.3;0.0;2.02;194.08;20000.0
2018-01-01T18:00:00+0100;0.1;0.0;1.73;229.87;20000.0
2018-01-01T19:00:00+0100;-0.0;0.0;2.06;280.17;19000.0
2018-01-01T20:00:00+0100;-0.8;0.0;1.65;259.09;18000.0
2018-01-01T21:00:00+0100;-0.5;0.0;2.84;270.15;20000.0
2018-01-01T22:00:00+0100;-0.4;0.0;1.31;256.17;18000.0
2018-01-01T23:00:00+0100;-0.7;0.0;3.23;275.49;19000.0
2018-01-02T00:00:00+0100;-0.9;0.0;3.46;279.58;19000.0
2018-01-02T01:00:00+0100;-2.4;0.0;4.35;278.17;20000.0
2018-01-02T02:00:00+0100;-3.9;0.0;4.98;281.25;20000.0
2018-01-02T03:00:00+0100;-3.2;0.0;4.56;280.76;18000.0
2018-01-02T04:00:00+0100;-2.3;0.0;4.31;279.38;18000.0
2018-01-02T05:00:00+0100;-1.6;0.0;4.32;283.34;26000.0
2018-01-02T06:00:00+0100;-3.4;0.0;4.07;279.53;48000.0
2018-01-02T07:00:00+0100;-5.6;-0.0;3.39;279.18;50000.0
2018-01-02T08:00:00+0100;-6.1;0.0;3.83;284.22;49000.0
2018-01-02T09:00:00+0100;-5.4;6.52;3.84;282.56;50000.0
2018-01-02T10:00:00+0100;-4.9;50.48;4.1;278.98;53000.0
2018-01-02T11:00:00+0100;-4.0;88.36;4.41;274.54;47000.0
2018-01-02T12:00:00+0100;-3.8;96.59;4.29;282.38;47000.0
2018-01-02T13:00:00+0100;-2.9;76.37;3.67;279.44;47000.0
2018-01-02T14:00:00+0100;-2.6;40.12;3.17;282.09;46000.0
2018-01-02T15:00:00+0100;-2.8;2.19;3.0;280.3;47000.0
2018-01-02T16:00:00+0100;-5.1;-0.01;3.4;278.62;48000.0
2018-01-02T17:00:00+0100;-6.1;0.0;3.48;275.99;47000.0
2018-01-02T18:00:00+0100;-7.4;0.0;2.99;277.54;22000.0
2018-01-02T19:00:00+0100;-8.2;0.0;2.57;275.37;17000.0
2018-01-02T20:00:00+0100;-9.1;0.0;2.77;273.55;14000.0
2018-01-02T21:00:00+0100;-9.4;0.0;2.44;270.56;16000.0
2018-01-02T22:00:00+0100;-9.1;0.0;1.61;249.94;15000.0
