Header_line;23
location;Drammen - Norway
year_of_construction;2009
floor_area;6774
number_of_users;40
building_category;Nsh
energy_label;E
notes;New ventilation system with heat recovery 2019
central_heating_system;1
dhw_heat_source;DH,HWH
sh_heat_source;DH
ventilation_heat_source;DH
ventilation_types;CAV_sch
night_setback;1
lighting_control;0
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6436

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity import;Heat import;Heat use;Electricity use;Heat use
;C;W/m2;m/s;deg;Wh;Wh;Wh;Wh;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity imported ;Imported District Heating;Heat Total = HtSpace + HtDHW;Electricity for DHW production and heat tracing;Domestic Hot Water
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElImp;HtDH;HtTot;ElDHW;HtDHW
2018-01-01T00:00:00+0100;-2.41;0;1.17;290.7;50000;180000;180000;2090;2090
2018-01-01T01:00:00+0100;-2.46;0;0.88;276.37;53000;80000;80000;2220;2220
2018-01-01T02:00:00+0100;-2.33;0;0.71;246.42;52000;150000;150000;2790;2790
2018-01-01T03:00:00+0100;-1.98;0;0.53;244.09;51000;170000;170000;1720;1720
2018-01-01T04:00:00+0100;-2.21;0;0.32;240.66;56000;160000;160000;3170;3170
2018-01-01T05:00:00+0100;-1.98;0;0.5;238.52;50000;160000;160000;1860;1860
2018-01-01T06:00:00+0100;-1.55;0;0.98;201.01;56000;170000;170000;2540;2540
2018-01-01T07:00:00+0100;-1.54;0;1.29;225.12;78000;160000;160000;6070;6270
2018-01-01T08:00:00+0100;-1.63;0;1.67;219.55;80000;250000;250000;4890;9290
2018-01-01T09:00:00+0100;-1.39;5.49;1.43;234.18;80000;160000;160000;6030;12330
2018-01-01T10:00:00+0100;-1.53;43.25;1.09;256.44;87000;280000;280000;6930;13330
2018-01-01T11:00:00+0100;-1;46.56;1.06;253.34;84000;160000;160000;5080;10980
2018-01-01T12:00:00+0100;-0.66;61.16;0.57;260.08;94000;160000;160000;4970;7670
2018-01-01T13:00:00+0100;-0.46;46.31;1.34;226.28;88000;270000;270000;5890;10590
2018-01-01T14:00:00+0100;-0.36;20.94;0.93;256.2;86000;160000;160000;3530;4330
2018-01-01T15:00:00+0100;-0.02;1.17;0.93;243.08;82000;170000;170000;4720;8220
2018-01-01T16:00:00+0100;-0.2;0;1.82;233.31;81000;260000;260000;3680;5580
2018-01-01T17:00:00+0100;-0.29;0;0.97;234.55;83000;170000;170000;4340;6440
2018-01-01T18:00:00+0100;-0.29;0;0.43;234.68;80000;160000;160000;3140;4140
2018-01-01T19:00:00+0100;-0.39;0;1.75;261.24;84000;270000;270000;5840;8340
2018-01-01T20:00:00+0100;-0.44;0;0.96;249.02;79000;170000;170000;4770;6370
2018-01-01T21:00:00+0100;-0.34;0;1.13;261.42;73000;170000;170000;4270;5070
2018-01-01T22:00:00+0100;-0.25;0;0.41;315.31;64000;70000;70000;4310;4910
2018-01-01T23:00:00+0100;0.03;0;1.84;266.16;55000;80000;80000;1940;1940
2018-01-02T00:00:00+0100;0.02;0;2.21;277.31;58000;170000;170000;2200;2200
2018-01-02T01:00:00+0100;-0.06;0;2.5;281.44;60000;90000;90000;3470;3470
2018-01-02T02:00:00+0100;-0.49;0;3.38;286.28;53000;150000;150000;2430;2430
2018-01-02T03:00:00+0100;-1;0;3.81;281.34;53000;170000;170000;2680;2680
2018-01-02T04:00:00+0100;-1.3;0;3;280.27;52000;150000;150000;2710;2710
2018-01-02T05:00:00+0100;-1.27;0;3.22;284.22;52000;160000;160000;1630;1630
2018-01-02T06:00:00+0100;-1.68;0;3.22;285.08;58000;150000;150000;4220;4220
2018-01-02T07:00:00+0100;-2.5;0;3.25;278.57;79000;240000;240000;4340;4640
2018-01-02T08:00:00+0100;-2.95;0;2.93;283.16;92000;240000;240000;5350;16350
2018-01-02T09:00:00+0100;-3.04;6.6;2.65;283.89;93000;240000;240000;7690;15990
2018-01-02T10:00:00+0100;-2.8;50.33;3.05;281.03;93000;140000;140000;5030;9030
2018-01-02T11:00:00+0100;-2.97;88.04;2.77;277.68;94000;240000;240000;5400;9300
2018-01-02T12:00:00+0100;-2.71;97.37;2.69;284.45;102000;250000;250000;4830;7830
2018-01-02T13:00:00+0100;-2.48;77.87;2.03;279.41;96000;240000;240000;5350;9650
2018-01-02T14:00:00+0100;-1.79;39.47;2.19;280.02;93000;140000;140000;4780;7080
2018-01-02T15:00:00+0100;-1.6;2.07;2.34;278;87000;250000;250000;3500;4000
2018-01-02T16:00:00+0100;-2.34;0.01;2.91;273.5;87000;250000;250000;5930;10430
2018-01-02T17:00:00+0100;-3.31;0;2.41;275.64;84000;260000;260000;3330;4830
2018-01-02T18:00:00+0100;-3.85;0;2.27;275.3;85000;160000;160000;4710;6710
2018-01-02T19:00:00+0100;-4.36;0;2.24;273.55;86000;270000;270000;5830;11730
2018-01-02T20:00:00+0100;-4.99;0;2.67;271.03;79000;260000;260000;4550;6550
2018-01-02T21:00:00+0100;-5.32;0;2.59;270.47;74000;260000;260000;3620;4420
2018-01-02T22:00:00+0100;-5.72;0;2.03;265.1;62000;60000;60000;1900;1900
2018-01-02T23:00:00+0100;-6.18;0;0.73;268.95;55000;170000;170000;3300;3300
2018-01-03T00:00:00+0100;-6.31;0;0.83;250.68;56000;170000;170000;1560;1560
2018-01-03T01:00:00+0100;-5.79;0;0.96;359.49;59000;180000;180000;3270;3270
2018-01-03T02:00:00+0100;-5.3;0;1.27;282.91;57000;160000;160000;1770;1770
2018-01-03T03:00:00+0100;-5.22;0;1.75;333.64;57000;150000;150000;2640;2640
2018-01-03T04:00:00+0100;-4.86;0;2.33;343.74;55000;150000;150000;1820;1820
2018-01-03T05:00:00+0100;-4.48;0;2.33;348.11;57000;260000;260000;2460;2460
2018-01-03T06:00:00+0100;-4.13;0;2.95;349.72;61000;140000;140000;2080;2180
2018-01-03T07:00:00+0100;-3.65;0;2.65;334.64;82000;240000;240000;5290;5690
2018-01-03T08:00:00+0100;-3.36;0;2.48;355.32;97000;230000;230000;6380;18080
2018-01-03T09:00:00+0100;-3.1;0.2;2.25;59.15;94000;250000;250000;6450;15050
2018-01-03T10:00:00+0100;-2.45;2.3;3.25;59.68;100000;150000;150000;6960;13460
2018-01-03T11:00:00+0100;-1.36;3.97;3.27;62.46;98000;240000;240000;5000;9000
2018-01-03T12:00:00+0100;-1.09;7.38;3.13;62.5;105000;150000;150000;4130;7530
2018-01-03T13:00:00+0100;0.09;9.69;3.48;60.03;103000;250000;250000;6490;10890
2018-01-03T14:00:00+0100;0.4;3.08;3.56;61.26;99000;150000;150000;5350;7950
2018-01-03T15:00:00+0100;0.49;0.08;3.65;61.12;98000;160000;160000;5590;9290
2018-01-03T16:00:00+0100;0.42;0.01;4.51;51.42;89000;250000;250000;4080;7280
2018-01-03T17:00:00+0100;0.49;0;3.95;44.8;88000;170000;170000;5430;9430
2018-01-03T18:00:00+0100;0.59;0;4.39;45.66;90000;180000;180000;3860;5960
2018-01-03T19:00:00+0100;0.88;0;4.39;41.67;86000;170000;170000;5830;8730
2018-01-03T20:00:00+0100;1.12;0;3.95;35.21;80000;170000;170000;5230;7730
2018-01-03T21:00:00+0100;1.04;0;4.22;38.29;77000;270000;270000;3880;4580
2018-01-03T22:00:00+0100;1.03;0;4.01;24.49;63000;80000;80000;3010;3110
2018-01-03T23:00:00+0100;1;0;3.96;20.74;56000;80000;80000;1660;1660
2018-01-04T00:00:00+0100;0.97;0;3.82;20.23;60000;80000;80000;2700;2700
2018-01-04T01:00:00+0100;0.95;0;3.84;31.11;63000;180000;180000;2540;2540
2018-01-04T02:00:00+0100;0.96;0;3.9;26.17;58000;70000;70000;1850;1850
2018-01-04T03:00:00+0100;0.9;0;3.42;18.97;59000;170000;170000;3230;3230
2018-01-04T04:00:00+0100;0.89;0;3.51;25.42;61000;50000;50000;2520;2520
2018-01-04T05:00:00+0100;1.07;0;3.33;22.69;62000;160000;160000;2750;2750
2018-01-04T06:00:00+0100;1.11;0;3.09;14.74;64000;160000;160000;4150;4350
2018-01-04T07:00:00+0100;1.16;0;3.01;14.36;92000;150000;150000;3900;5400
2018-01-04T08:00:00+0100;1.24;0;3.16;22.84;114000;250000;250000;6470;17970
2018-01-04T09:00:00+0100;1.31;0.49;2.91;22.95;113000;150000;150000;6190;12090
2018-01-04T10:00:00+0100;1.36;4.36;2.96;6.13;117000;160000;160000;6890;12290
2018-01-04T11:00:00+0100;1.48;7.18;2.72;353.82;116000;150000;150000;5950;10250
2018-01-04T12:00:00+0100;1.56;18.35;3.14;359.46;114000;260000;260000;6180;11180
2018-01-04T13:00:00+0100;1.64;7.25;3.11;352.93;108000;160000;160000;5650;8950
2018-01-04T14:00:00+0100;1.62;2.42;3.13;354.28;104000;150000;150000;3580;5580
2018-01-04T15:00:00+0100;1.44;0.28;2.82;350.98;88000;160000;160000;5350;7150
2018-01-04T16:00:00+0100;1.15;-0.01;3.14;355.03;84000;250000;250000;5270;9170
2018-01-04T17:00:00+0100;1;0;3.17;352.21;89000;180000;180000;4110;6710
2018-01-04T18:00:00+0100;1.11;0;3.09;351.21;88000;180000;180000;5030;7430
2018-01-04T19:00:00+0100;1.4;0;2.88;354.25;87000;170000;170000;4490;8090
2018-01-04T20:00:00+0100;1.61;0;2.44;2.91;83000;180000;180000;5630;10130
2018-01-04T21:00:00+0100;1.51;0;2.58;0.98;76000;170000;170000;3930;5430
2018-01-04T22:00:00+0100;1.39;0;3.01;354.54;57000;70000;70000;1920;1920
2018-01-04T23:00:00+0100;1.06;0;3.26;359.58;51000;90000;90000;2640;2640
2018-01-05T00:00:00+0100;0.87;0;3.23;355.16;53000;180000;180000;2420;2420
2018-01-05T01:00:00+0100;0.9;0;3.27;356.72;58000;80000;80000;1780;1780
2018-01-05T02:00:00+0100;0.79;0;3.22;354.41;58000;170000;170000;2960;2960
2018-01-05T03:00:00+0100;0.66;0;3.51;355.97;51000;70000;70000;2120;2120
2018-01-05T04:00:00+0100;0.49;0;3.24;357.74;51000;60000;60000;2310;2310
2018-01-05T05:00:00+0100;0.36;0;3.04;355.54;55000;270000;270000;2520;2520
2018-01-05T06:00:00+0100;0.31;0;3.21;357;62000;50000;50000;4950;5850
2018-01-05T07:00:00+0100;0.22;0;3.37;357.52;93000;240000;240000;4760;7760
2018-01-05T08:00:00+0100;0.17;0;3.17;357.49;96000;160000;160000;7330;18430
2018-01-05T09:00:00+0100;0.13;1.65;2.82;355.35;91000;240000;240000;5510;9310
2018-01-05T10:00:00+0100;0.09;8.96;2.8;355.86;97000;160000;160000;7450;18750
2018-01-05T11:00:00+0100;0.09;15.2;2.45;356.25;96000;250000;250000;5110;9710
2018-01-05T12:00:00+0100;0.21;16.34;2.37;355.27;102000;160000;160000;5820;13220
2018-01-05T13:00:00+0100;0.24;29.07;2.41;357.73;96000;140000;140000;5360;11460
2018-01-05T14:00:00+0100;0.28;31.88;2.54;359.78;94000;260000;260000;5730;11130
2018-01-05T15:00:00+0100;0.09;1.95;1.97;349.59;91000;150000;150000;5670;7770
2018-01-05T16:00:00+0100;0.04;0;1.69;341.57;88000;250000;250000;6100;11400
2018-01-05T17:00:00+0100;-0.67;0;1.85;331.4;82000;170000;170000;3340;5140
2018-01-05T18:00:00+0100;-1.6;0;1.77;331.7;88000;170000;170000;4580;6680
2018-01-05T19:00:00+0100;-2.47;0;1.75;326.84;82000;270000;270000;5260;7960
2018-01-05T20:00:00+0100;-2.73;0;1.76;301.68;77000;170000;170000;4930;6630
2018-01-05T21:00:00+0100;-2.77;0;2.02;282.68;73000;270000;270000;3730;4630
2018-01-05T22:00:00+0100;-2.87;0;1.93;290.49;60000;70000;70000;2140;2140
2018-01-05T23:00:00+0100;-3.58;0;2.09;286.44;54000;180000;180000;2600;2600
2018-01-06T00:00:00+0100;-4.37;0;2.25;288.5;50000;170000;170000;2130;2130
2018-01-06T01:00:00+0100;-4.68;0;2.61;286.73;54000;80000;80000;2360;2360
2018-01-06T02:00:00+0100;-5.12;0;2.56;282.21;55000;250000;250000;2190;2190
2018-01-06T03:00:00+0100;-5.17;0;2.44;281.26;53000;160000;160000;2420;2420
2018-01-06T04:00:00+0100;-5.11;0;2.61;285.55;51000;160000;160000;2830;2830
2018-01-06T05:00:00+0100;-4.79;0;2.78;288.63;55000;160000;160000;2030;2030
2018-01-06T06:00:00+0100;-4.74;0;2.87;286.16;58000;160000;160000;2210;2210
2018-01-06T07:00:00+0100;-4.75;0;2.93;284.42;74000;260000;260000;3260;3260
2018-01-06T08:00:00+0100;-4.46;0;2.96;289.69;78000;260000;260000;6900;10600
2018-01-06T09:00:00+0100;-4.7;7.55;2.88;296.97;80000;160000;160000;6170;15270
2018-01-06T10:00:00+0100;-4.85;49.48;2.72;298.23;79000;250000;250000;5760;9960
2018-01-06T11:00:00+0100;-5.2;95.08;2.23;297.93;85000;260000;260000;4490;7090
2018-01-06T12:00:00+0100;-5.04;110.65;1.83;279.71;83000;260000;260000;3830;6330
2018-01-06T13:00:00+0100;-5.13;93.26;1.54;252.93;80000;160000;160000;6080;11980
2018-01-06T14:00:00+0100;-5.19;48.62;2.87;273.12;83000;260000;260000;3920;6820
2018-01-06T15:00:00+0100;-5.25;4.28;2.72;267.6;79000;250000;250000;3650;3950
2018-01-06T16:00:00+0100;-5.75;0;2.37;270.81;75000;270000;270000;4280;7280
2018-01-06T17:00:00+0100;-6.18;0;3.08;279.14;77000;250000;250000;2480;2680
2018-01-06T18:00:00+0100;-6.51;0;3.58;283.47;80000;260000;260000;5520;9820
2018-01-06T19:00:00+0100;-6.92;0;3.87;282.87;73000;260000;260000;4300;6800
2018-01-06T20:00:00+0100;-7.28;0;3.04;279.95;70000;250000;250000;4540;7740
2018-01-06T21:00:00+0100;-7.81;0;3.53;280.12;72000;260000;260000;2960;4360
2018-01-06T22:00:00+0100;-8.46;0;3.88;277.76;61000;150000;150000;3260;3260
2018-01-06T23:00:00+0100;-9.1;0;4.06;278.38;53000;170000;170000;2290;2290
2018-01-07T00:00:00+0100;-9.56;0;4.02;280.52;53000;160000;160000;1700;1700
2018-01-07T01:00:00+0100;-10.21;0;3.24;282;59000;260000;260000;3300;3300
2018-01-07T02:00:00+0100;-10.55;0;3.17;278.04;53000;150000;150000;3380;3380
2018-01-07T03:00:00+0100;-10.68;0;3.32;285.61;55000;260000;260000;1740;1740
2018-01-07T04:00:00+0100;-10.87;0;3.54;282.54;55000;150000;150000;2740;2740
2018-01-07T05:00:00+0100;-11.03;0;3.46;278.97;58000;240000;240000;2850;2850
2018-01-07T06:00:00+0100;-11.55;0;2.61;240.54;62000;250000;250000;3040;3040
2018-01-07T07:00:00+0100;-11.61;0;2.53;240.92;74000;240000;240000;3370;3370
2018-01-07T08:00:00+0100;-12.23;0;3.23;260.11;75000;360000;360000;5690;11890
2018-01-07T09:00:00+0100;-12.29;7.4;2.11;257.12;76000;240000;240000;4790;7690
2018-01-07T10:00:00+0100;-12.16;40.76;1.06;201.02;82000;250000;250000;5240;10040
2018-01-07T11:00:00+0100;-11.42;60.32;0.65;223.58;83000;350000;350000;4840;10640
2018-01-07T12:00:00+0100;-9.82;61.4;1.09;214.44;85000;250000;250000;4520;7220
2018-01-07T13:00:00+0100;-8.93;51.98;0.92;215.61;81000;250000;250000;5590;10990
2018-01-07T14:00:00+0100;-7.72;28.41;0.75;248.3;87000;260000;260000;5120;8920
2018-01-07T15:00:00+0100;-7.12;2.93;2.07;275.45;79000;250000;250000;3500;4100
2018-01-07T16:00:00+0100;-6.83;0;1.75;282.4;80000;260000;260000;4690;8690
2018-01-07T17:00:00+0100;-5.35;0;3.01;286.09;78000;250000;250000;3310;4210
2018-01-07T18:00:00+0100;-3.12;0;4.02;277.67;85000;160000;160000;3420;5220
2018-01-07T19:00:00+0100;-2.62;0;3.88;271.88;82000;250000;250000;4410;6710
2018-01-07T20:00:00+0100;-1.54;0;3.31;271.83;78000;270000;270000;4770;7770
2018-01-07T21:00:00+0100;-1.41;0;3.03;273.48;79000;160000;160000;3760;4660
2018-01-07T22:00:00+0100;-1.41;0;2.53;277.93;61000;70000;70000;2200;2300
2018-01-07T23:00:00+0100;-0.89;0;2.33;281.16;57000;180000;180000;3080;3080
