Header_line;23
location;Drammen - Norway
year_of_construction;1935
floor_area;3062
number_of_users;260
building_category;Sch
energy_label;F
central_heating_system;0
dhw_heat_source;HWH
sh_heat_source;EH,EFH
ventilation_heat_source;EHB
ventilation_types;CAV_sch
pv;No
night_setback;1
lighting_control;0
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6440

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity import
;C;W/m2;m/s;deg;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity imported 
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElImp
2018-01-01T00:00:00+0100;-2.2;0.0;1.19;312.69;48000.0
2018-01-01T01:00:00+0100;-2.12;0.0;0.78;313.32;52000.0
2018-01-01T02:00:00+0100;-2.21;0.0;0.54;349.24;58000.0
2018-01-01T03:00:00+0100;-1.97;0.0;0.7;353.57;58000.0
2018-01-01T04:00:00+0100;-1.62;0.0;0.7;62.23;56000.0
2018-01-01T05:00:00+0100;-1.95;0.0;0.96;211.33;66000.0
2018-01-01T06:00:00+0100;-1.39;0.0;1.66;185.76;102000.0
2018-01-01T07:00:00+0100;-0.93;-0.0;2.44;202.93;112000.0
2018-01-01T08:00:00+0100;-0.8;0.0;2.94;202.74;112000.0
2018-01-01T09:00:00+0100;-0.67;5.62;2.72;209.41;114000.0
2018-01-01T10:00:00+0100;-0.37;32.86;1.74;212.83;112000.0
2018-01-01T11:00:00+0100;0.02;47.72;1.62;254.16;110000.0
2018-01-01T12:00:00+0100;0.33;61.44;1.2;279.75;108000.0
2018-01-01T13:00:00+0100;0.45;52.87;1.4;206.49;98000.0
2018-01-01T14:00:00+0100;0.42;22.77;1.33;236.23;84000.0
2018-01-01T15:00:00+0100;0.35;0.99;1.28;229.37;84000.0
2018-01-01T16:00:00+0100;0.26;0.0;2.13;217.59;46000.0
2018-01-01T17:00:00+0100;0.25;0.0;1.65;204.8;52000.0
2018-01-01T18:00:00+0100;0.24;0.0;1.09;206.38;64000.0
2018-01-01T19:00:00+0100;0.12;0.0;2.11;268.66;62000.0
2018-01-01T20:00:00+0100;0.06;0.0;1.62;267.49;50000.0
2018-01-01T21:00:00+0100;0.0;0.0;2.11;266.74;50000.0
2018-01-01T22:00:00+0100;-0.23;0.0;1.18;324.38;48000.0
2018-01-01T23:00:00+0100;0.27;0.0;2.51;284.97;44000.0
2018-01-02T00:00:00+0100;0.19;0.0;2.47;282.47;46000.0
2018-01-02T01:00:00+0100;-0.0;0.0;2.97;286.47;48000.0
2018-01-02T02:00:00+0100;-0.46;0.0;4.18;292.13;52000.0
2018-01-02T03:00:00+0100;-0.71;0.0;4.43;288.96;50000.0
2018-01-02T04:00:00+0100;-0.88;0.0;3.64;288.02;46000.0
2018-01-02T05:00:00+0100;-0.74;0.0;3.52;288.62;66000.0
2018-01-02T06:00:00+0100;-0.88;0.0;3.13;295.16;104000.0
2018-01-02T07:00:00+0100;-1.3;-0.0;3.48;289.47;124000.0
2018-01-02T08:00:00+0100;-1.58;0.0;3.37;294.1;128000.0
2018-01-02T09:00:00+0100;-1.59;6.77;2.91;294.66;128000.0
2018-01-02T10:00:00+0100;-2.26;51.05;3.65;293.63;122000.0
2018-01-02T11:00:00+0100;-2.38;89.38;2.77;283.28;126000.0
2018-01-02T12:00:00+0100;-2.05;100.12;2.58;294.32;120000.0
2018-01-02T13:00:00+0100;-2.14;81.37;2.78;290.32;98000.0
2018-01-02T14:00:00+0100;-1.42;40.07;2.77;291.5;78000.0
2018-01-02T15:00:00+0100;-1.29;2.14;3.06;291.66;74000.0
2018-01-02T16:00:00+0100;-1.95;0.0;3.23;287.64;52000.0
2018-01-02T17:00:00+0100;-2.86;0.0;2.88;287.17;64000.0
2018-01-02T18:00:00+0100;-3.2;0.0;2.81;290.8;70000.0
2018-01-02T19:00:00+0100;-3.27;0.0;2.64;291.08;70000.0
2018-01-02T20:00:00+0100;-3.7;0.0;2.79;285.24;50000.0
2018-01-02T21:00:00+0100;-3.93;0.0;2.71;285.94;50000.0
2018-01-02T22:00:00+0100;-4.49;0.0;2.08;272.55;54000.0
