Header_line;24
location;Drammen - Norway
year_of_construction;2009
floor_area;4997
number_of_users;72
building_category;Nsh
energy_label;D
notes;Solar panels installed in 2022, but new meter for energy production is not registered. Might be errors in heat pump measurements.
central_heating_system;1
dhw_heat_source;GSHP,HWH
sh_heat_source;GSHP,EB
ventilation_heat_source;GSHP,EHB
cooling_source;Free
ventilation_types;CAV_sch
night_setback;1
lighting_control;0
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6442

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity use;Electricity import;Electricity use;Heat use;Heat production;Heat production;Electricity use;Heat use
;C;W/m2;m/s;deg;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity for snow melt;Electricity imported ;Electricity for electric boiler;Heat Total = HtSpace + HtDHW;Heat produced from Oil;Heat from heat pumps;Electricity for hot water heater;Domestic Hot Water
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElSnow;ElImp;ElBoil;HtTot;HtOil;HtHP;ElHWH;HtDHW
2018-01-01T00:00:00+0100;-1.88;0.0;1.16;290.7;7000.0;77000.0;6000.0;;0.0;;;
2018-01-01T01:00:00+0100;-1.82;0.0;0.77;276.37;6000.0;74000.0;5000.0;;0.0;;;
2018-01-01T02:00:00+0100;-1.95;0.0;0.8;246.42;7000.0;73000.0;5000.0;;0.0;;;
2018-01-01T03:00:00+0100;-1.64;0.0;1.16;244.09;6000.0;74000.0;5000.0;;0.0;;;
2018-01-01T04:00:00+0100;-1.32;0.0;1.04;240.66;7000.0;74000.0;5000.0;;0.0;;;
2018-01-01T05:00:00+0100;-1.15;0.0;1.41;238.52;7000.0;75000.0;6000.0;;0.0;;;
2018-01-01T06:00:00+0100;-0.93;0.0;2.05;201.01;6000.0;78000.0;7000.0;;0.0;;;
2018-01-01T07:00:00+0100;-0.41;-0.0;2.47;225.12;7000.0;105000.0;5000.0;;0.0;;;
2018-01-01T08:00:00+0100;-0.53;0.0;2.83;219.55;6000.0;104000.0;6000.0;;0.0;;;
2018-01-01T09:00:00+0100;-0.65;5.49;2.03;234.18;7000.0;124000.0;8000.0;;0.0;;;
2018-01-01T10:00:00+0100;-0.79;43.25;1.55;256.44;6000.0;116000.0;7000.0;;0.0;;;
2018-01-01T11:00:00+0100;-0.06;46.56;1.84;253.34;7000.0;125000.0;10000.0;;0.0;;;
2018-01-01T12:00:00+0100;0.45;61.16;1.33;260.08;6000.0;121000.0;8000.0;;0.0;;;
2018-01-01T13:00:00+0100;0.5;46.31;1.37;226.28;7000.0;120000.0;7000.0;;0.0;;;
2018-01-01T14:00:00+0100;0.36;20.94;1.34;256.2;6000.0;119000.0;8000.0;;0.0;;;
2018-01-01T15:00:00+0100;0.52;1.17;1.33;243.08;6000.0;117000.0;7000.0;;0.0;;;
2018-01-01T16:00:00+0100;0.1;0.0;1.85;233.31;7000.0;117000.0;6000.0;;0.0;;;
2018-01-01T17:00:00+0100;0.01;0.0;1.5;234.55;6000.0;119000.0;8000.0;;0.0;;;
2018-01-01T18:00:00+0100;0.12;0.0;1.08;234.68;6000.0;107000.0;6000.0;;0.0;;;
