Header_line;23
location;Drammen - Norway
year_of_construction;1967
floor_area;5585
number_of_users;560
building_category;Sch
energy_label;C/E
central_heating_system;1
dhw_heat_source;GSHP, EB
sh_heat_source;GSHP, EB, EH
snow_melt_heat_source;None
ventilation_types;DCV
pv;Yes
night_setback;1
lighting_control;1
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6445

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity import;Electricity production
;C;W/m2;m/s;deg;Wh;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity imported ;Electricity production from PV
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElImp;ElPV
2018-01-01T00:00:00+0100;-2.91;0.0;1.13;155.3;101000.0;
2018-01-01T01:00:00+0100;-2.73;0.0;0.93;137.63;97000.0;
2018-01-01T02:00:00+0100;-2.52;0.0;0.83;114.0;102000.0;
2018-01-01T03:00:00+0100;-2.51;0.0;0.37;121.48;96000.0;
2018-01-01T04:00:00+0100;-2.52;0.0;0.32;103.13;100000.0;
2018-01-01T05:00:00+0100;-2.17;0.0;0.19;109.59;100000.0;
2018-01-01T06:00:00+0100;-1.99;0.0;0.21;109.94;102000.0;
2018-01-01T07:00:00+0100;-2.09;-0.0;0.69;39.85;108000.0;
2018-01-01T08:00:00+0100;-2.24;0.0;0.84;194.95;114000.0;
2018-01-01T09:00:00+0100;-1.93;5.08;0.97;183.06;108000.0;
2018-01-01T10:00:00+0100;-1.51;44.87;0.75;193.73;108000.0;
2018-01-01T11:00:00+0100;-1.18;73.35;0.85;186.89;107000.0;
2018-01-01T12:00:00+0100;-0.77;72.66;0.51;182.69;104000.0;
2018-01-01T13:00:00+0100;-0.58;58.44;1.01;172.02;110000.0;
2018-01-01T14:00:00+0100;-0.6;24.0;0.89;178.54;105000.0;
2018-01-01T15:00:00+0100;-0.45;1.36;0.5;187.71;106000.0;
2018-01-01T16:00:00+0100;-0.73;0.01;1.36;198.55;105000.0;
2018-01-01T17:00:00+0100;-0.83;0.0;0.88;197.2;106000.0;
2018-01-01T18:00:00+0100;-0.91;0.0;0.86;216.22;101000.0;
2018-01-01T19:00:00+0100;-0.84;0.0;1.46;241.52;91000.0;
2018-01-01T20:00:00+0100;-0.54;0.0;1.0;227.47;87000.0;
2018-01-01T21:00:00+0100;-0.36;0.0;1.3;244.48;93000.0;
2018-01-01T22:00:00+0100;-0.22;0.0;0.47;229.94;88000.0;
2018-01-01T23:00:00+0100;-0.06;0.0;1.84;250.58;91000.0;
2018-01-02T00:00:00+0100;-0.22;0.0;2.15;251.48;86000.0;
2018-01-02T01:00:00+0100;-0.46;0.0;2.58;256.5;93000.0;
2018-01-02T02:00:00+0100;-0.89;0.0;3.6;258.86;91000.0;
2018-01-02T03:00:00+0100;-1.39;0.0;3.43;257.31;96000.0;
2018-01-02T04:00:00+0100;-1.84;0.0;2.63;251.38;93000.0;
2018-01-02T05:00:00+0100;-1.89;0.0;3.05;257.46;107000.0;
2018-01-02T06:00:00+0100;-2.37;0.0;3.01;259.09;169000.0;
2018-01-02T07:00:00+0100;-3.28;-0.0;2.26;251.94;167000.0;
2018-01-02T08:00:00+0100;-3.68;0.0;2.3;255.84;228000.0;
2018-01-02T09:00:00+0100;-3.76;6.38;2.43;260.6;236000.0;
2018-01-02T10:00:00+0100;-3.48;49.98;3.54;254.01;225000.0;
2018-01-02T11:00:00+0100;-3.7;87.51;3.57;250.28;219000.0;
2018-01-02T12:00:00+0100;-3.41;95.66;3.04;256.74;215000.0;
2018-01-02T13:00:00+0100;-3.13;75.5;2.24;252.73;199000.0;
2018-01-02T14:00:00+0100;-2.14;39.72;2.16;255.72;201000.0;
2018-01-02T15:00:00+0100;-2.0;2.12;2.42;252.95;207000.0;
2018-01-02T16:00:00+0100;-2.92;0.0;3.07;250.93;211000.0;
2018-01-02T17:00:00+0100;-3.94;0.0;2.83;251.14;211000.0;
2018-01-02T18:00:00+0100;-4.6;0.0;2.52;250.19;135000.0;
2018-01-02T19:00:00+0100;-5.12;0.0;2.39;244.13;88000.0;
2018-01-02T20:00:00+0100;-5.86;0.0;2.79;252.17;92000.0;
2018-01-02T21:00:00+0100;-6.38;0.0;2.48;243.8;83000.0;
2018-01-02T22:00:00+0100;-6.72;0.0;1.74;236.57;84000.0;
2018-01-02T23:00:00+0100;-6.61;0.0;1.47;183.75;82000.0;
2018-01-03T00:00:00+0100;-6.55;0.0;1.49;160.29;85000.0;
2018-01-03T01:00:00+0100;-6.42;0.0;1.84;140.68;87000.0;
2018-01-03T02:00:00+0100;-6.17;0.0;1.69;177.09;88000.0;
2018-01-03T03:00:00+0100;-5.64;0.0;1.39;172.18;89000.0;
2018-01-03T04:00:00+0100;-5.37;0.0;1.89;99.23;94000.0;
2018-01-03T05:00:00+0100;-5.1;0.0;2.1;111.0;102000.0;
2018-01-03T06:00:00+0100;-4.76;0.0;2.59;86.96;167000.0;
2018-01-03T07:00:00+0100;-4.53;-0.0;2.63;87.52;168000.0;
2018-01-03T08:00:00+0100;-4.18;0.0;2.98;76.61;232000.0;
2018-01-03T09:00:00+0100;-3.83;0.2;2.58;98.21;237000.0;
2018-01-03T10:00:00+0100;-3.02;1.95;3.47;75.17;239000.0;
2018-01-03T11:00:00+0100;-2.21;3.92;3.77;72.58;238000.0;
2018-01-03T12:00:00+0100;-1.7;6.52;3.73;72.99;222000.0;
2018-01-03T13:00:00+0100;-0.88;7.56;4.06;69.41;206000.0;
2018-01-03T14:00:00+0100;0.2;2.22;3.95;70.41;196000.0;
2018-01-03T15:00:00+0100;0.6;0.1;4.15;72.7;194000.0;
2018-01-03T16:00:00+0100;0.47;0.0;4.72;63.49;193000.0;
2018-01-03T17:00:00+0100;0.55;0.0;4.25;58.86;188000.0;
2018-01-03T18:00:00+0100;0.74;0.0;4.65;55.91;121000.0;
2018-01-03T19:00:00+0100;0.98;0.0;4.72;58.0;78000.0;
2018-01-03T20:00:00+0100;1.24;0.0;4.45;55.87;75000.0;
2018-01-03T21:00:00+0100;1.17;0.0;4.63;53.13;70000.0;
2018-01-03T22:00:00+0100;1.28;0.0;4.7;50.0;70000.0;
2018-01-03T23:00:00+0100;1.27;0.0;4.67;46.32;70000.0;
2018-01-04T00:00:00+0100;1.29;0.0;4.62;44.43;69000.0;
2018-01-04T01:00:00+0100;1.24;0.0;4.54;48.96;73000.0;
2018-01-04T02:00:00+0100;1.2;0.0;4.38;50.06;75000.0;
2018-01-04T03:00:00+0100;1.1;0.0;3.86;48.98;106000.0;
2018-01-04T04:00:00+0100;1.09;0.0;4.01;53.26;106000.0;
2018-01-04T05:00:00+0100;1.26;0.0;3.77;51.65;108000.0;
2018-01-04T06:00:00+0100;1.39;0.0;3.6;48.17;106000.0;
2018-01-04T07:00:00+0100;1.22;-0.0;3.5;50.98;107000.0;
2018-01-04T08:00:00+0100;1.16;0.0;3.52;52.87;187000.0;
2018-01-04T09:00:00+0100;1.15;0.7;3.33;56.21;201000.0;
2018-01-04T10:00:00+0100;1.23;6.54;3.01;45.28;201000.0;
2018-01-04T11:00:00+0100;1.61;9.09;2.68;46.02;201000.0;
2018-01-04T12:00:00+0100;1.7;40.57;3.14;43.54;188000.0;
2018-01-04T13:00:00+0100;1.6;12.32;2.85;41.82;194000.0;
2018-01-04T14:00:00+0100;1.4;2.86;3.23;36.9;196000.0;
2018-01-04T15:00:00+0100;1.16;0.49;2.91;41.37;181000.0;
2018-01-04T16:00:00+0100;1.04;0.0;3.17;36.41;190000.0;
2018-01-04T17:00:00+0100;0.84;0.0;3.33;37.8;183000.0;
2018-01-04T18:00:00+0100;0.83;0.0;3.29;39.86;78000.0;
2018-01-04T19:00:00+0100;1.05;0.0;3.2;43.2;78000.0;
2018-01-04T20:00:00+0100;1.43;0.0;2.71;50.08;78000.0;
2018-01-04T21:00:00+0100;1.31;0.0;2.77;49.64;77000.0;
2018-01-04T22:00:00+0100;1.06;0.0;3.27;40.17;79000.0;
2018-01-04T23:00:00+0100;0.83;0.0;3.57;39.64;78000.0;
2018-01-05T00:00:00+0100;0.69;0.0;3.43;39.31;67000.0;
2018-01-05T01:00:00+0100;0.68;0.0;3.53;40.56;67000.0;
2018-01-05T02:00:00+0100;0.64;0.0;3.52;40.49;70000.0;
2018-01-05T03:00:00+0100;0.53;0.0;3.71;38.44;71000.0;
2018-01-05T04:00:00+0100;0.37;0.0;3.51;42.38;72000.0;
2018-01-05T05:00:00+0100;0.25;0.0;3.33;41.3;82000.0;
2018-01-05T06:00:00+0100;0.23;0.0;3.57;37.82;147000.0;
2018-01-05T07:00:00+0100;0.15;-0.0;3.68;33.68;145000.0;
2018-01-05T08:00:00+0100;0.09;0.0;3.34;27.46;195000.0;
2018-01-05T09:00:00+0100;-0.01;1.89;2.75;25.43;209000.0;
2018-01-05T10:00:00+0100;0.04;9.89;2.25;11.08;210000.0;
2018-01-05T11:00:00+0100;0.13;16.48;1.81;1.55;203000.0;
2018-01-05T12:00:00+0100;0.24;23.63;1.33;308.42;202000.0;
2018-01-05T13:00:00+0100;0.29;44.21;1.15;334.03;204000.0;
2018-01-05T14:00:00+0100;0.18;36.48;1.55;1.48;199000.0;
2018-01-05T15:00:00+0100;-0.03;2.17;1.33;323.81;164000.0;
2018-01-05T16:00:00+0100;-0.41;-0.01;1.12;297.85;171000.0;
2018-01-05T17:00:00+0100;-0.78;0.0;1.34;293.5;170000.0;
2018-01-05T18:00:00+0100;-1.66;0.0;1.28;285.07;133000.0;
2018-01-05T19:00:00+0100;-2.3;0.0;1.6;264.83;132000.0;
2018-01-05T20:00:00+0100;-2.7;0.0;2.16;250.57;78000.0;
2018-01-05T21:00:00+0100;-2.79;0.0;2.21;250.04;65000.0;
2018-01-05T22:00:00+0100;-3.12;0.0;1.97;250.61;71000.0;
2018-01-05T23:00:00+0100;-3.77;0.0;2.3;254.28;76000.0;
2018-01-06T00:00:00+0100;-4.73;0.0;2.56;255.96;76000.0;
2018-01-06T01:00:00+0100;-5.17;0.0;2.77;254.49;81000.0;
2018-01-06T02:00:00+0100;-5.46;0.0;2.82;254.16;81000.0;
2018-01-06T03:00:00+0100;-5.48;0.0;2.72;254.57;83000.0;
2018-01-06T04:00:00+0100;-5.48;0.0;2.34;256.01;87000.0;
2018-01-06T05:00:00+0100;-5.29;0.0;2.73;257.6;84000.0;
2018-01-06T06:00:00+0100;-5.04;0.0;3.02;257.53;88000.0;
2018-01-06T07:00:00+0100;-5.07;-0.0;3.22;257.5;90000.0;
2018-01-06T08:00:00+0100;-4.72;0.0;3.25;256.09;109000.0;
2018-01-06T09:00:00+0100;-4.91;6.96;3.38;258.89;109000.0;
2018-01-06T10:00:00+0100;-5.19;47.19;2.9;257.86;98000.0;
2018-01-06T11:00:00+0100;-5.54;94.47;2.84;263.99;97000.0;
2018-01-06T12:00:00+0100;-5.49;111.27;2.77;255.46;98000.0;
2018-01-06T13:00:00+0100;-5.52;93.69;3.34;254.07;88000.0;
2018-01-06T14:00:00+0100;-5.43;48.91;3.17;255.64;90000.0;
2018-01-06T15:00:00+0100;-5.76;4.35;3.33;249.81;97000.0;
2018-01-06T16:00:00+0100;-6.49;0.0;3.28;250.2;95000.0;
2018-01-06T17:00:00+0100;-6.83;0.0;3.91;252.17;96000.0;
