Header_line;19
location;Oslo Norway
year_of_construction;2004
floor_area;6550
number_of_users;590
building_category;Sch
energy_label;C
central_heating_system;1
dhw_heat_source;DH
sh_heat_source;DH
ventilation_heat_source;DH
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;8091

;Heat use;Heat import;Electricity import;Weather variable;Weather variable;Weather variable;Weather variable;Weather variable
;Wh;Wh;Wh;C;W/m2;m/s;deg;%
;Heat Total = HtSpace + HtDHW;Imported District Heating;Electricity imported ;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Relative Humidity
TimeStamp;HtTot;HtDH;ElImp;Tout;SolGlob;WindSpd;WindDir;RH
2021-01-01T00:00:00+0100;54000.0;54000.0;28800.0;-0.4223693847656022;2.3701233876750727e-14;2.4891045;26.01479;0.92625475
2021-01-01T01:00:00+0100;55000.0;55000.0;27800.0;-0.3902954101562272;2.3780175359730848e-14;2.2891042;31.62006;0.93023723
2021-01-01T02:00:00+0100;63000.0;63000.0;27800.0;-0.4586853027343522;2.3780175359730848e-14;2.3414052;26.570503;0.93794256
2021-01-01T03:00:00+0100;79000.0;79000.0;28600.0;-0.4874633789062272;2.3953863584027763e-14;2.3991394;23.348286;0.9393387
2021-01-01T04:00:00+0100;188000.0;188000.0;28000.0;-0.5332092285156023;2.3953863584027763e-14;2.574007;30.861074;0.9295729
2021-01-01T05:00:00+0100;200000.0;200000.0;30200.0;-0.5982421874999773;2.3945960954859422e-14;2.6786788;29.42021;0.92856574
2021-01-01T06:00:00+0100;197000.0;197000.0;48800.0;-0.5983337402343523;-1.1976931021025674e-13;2.934811;24.680838;0.92568153
2021-01-01T07:00:00+0100;195000.0;195000.0;51400.0;-0.7139038085937273;0.0;2.974496;28.90768;0.9181129
2021-01-01T08:00:00+0100;195000.0;195000.0;52000.0;-0.8505920410156023;0.0;3.1170707;28.964079;0.9215458
2021-01-01T09:00:00+0100;197000.0;197000.0;50000.0;-0.9074462890624772;0.96;3.0192373;27.065424;0.92230856
2021-01-01T10:00:00+0100;195000.0;195000.0;46600.0;-0.7135070800781023;3.057777777777778;2.931264;26.828136;0.91652536
2021-01-01T11:00:00+0100;196000.0;196000.0;51000.0;-0.6099914550781023;3.2533333333333334;2.9538443;32.218426;0.92784727
2021-01-01T12:00:00+0100;197000.0;197000.0;52200.0;-0.3595336914062272;5.2444444444444445;2.4652808;35.59629;0.9398712
