Header_line;17
location;Oslo Norway
year_of_construction;1965
floor_area;9072
number_of_users;770
building_category;Sch
dhw_heat_source;DH
sh_heat_source;DH
ventilation_heat_source;DH
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;8093

;Heat use;Electricity import;Weather variable;Weather variable;Weather variable;Weather variable;Weather variable
;Wh;Wh;C;W/m2;m/s;deg;%
;Heat Total = HtSpace + HtDHW;Electricity imported ;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Relative Humidity
TimeStamp;HtTot;ElImp;Tout;SolGlob;WindSpd;WindDir;RH
2019-03-05T00:00:00+0100;231800.0;192000.0;0.0078979492187727;2.575390518128668e-14;5.554785;34.02158;0.85103476
2019-03-05T01:00:00+0100;228000.0;188000.0;-0.0585693359374772;2.5801274697004025e-14;5.575765;34.994297;0.84836423
2019-03-05T02:00:00+0100;235600.0;185600.0;-0.2115234374999772;2.5848644212721363e-14;5.7956843;37.160397;0.84522074
2019-03-05T03:00:00+0100;239400.0;187600.0;-0.3726562499999772;2.5860490446591763e-14;5.810432;37.791;0.8424436
2019-03-05T04:00:00+0100;277400.0;189200.0;-0.6825317382812273;2.590390864772492e-14;5.4281716;39.599762;0.83807963
2019-03-05T05:00:00+0100;288800.0;196000.0;-0.8242858886718523;-1.0336299717374057e-13;5.098111;36.49902;0.8329832
2019-03-05T06:00:00+0100;311600.0;261200.0;-1.2036804199218525;0.0;5.0724335;36.052845;0.82149225
2019-03-05T07:00:00+0100;323000.0;275600.0;-1.4025939941406025;8.995555555555555;5.1739774;37.55147;0.8167769
2019-03-05T08:00:00+0100;342000.0;316800.0;-1.5590270996093525;42.91555555555556;5.3003263;38.613743;0.80864465
2019-03-05T09:00:00+0100;323000.0;330000.0;-1.3244689941406025;58.84758680555556;5.335621;40.472427;0.7867936
2019-03-05T10:00:00+0100;323000.0;329600.0;-1.1286071777343525;108.55539930555555;4.532826;46.469433;0.81247413
2019-03-05T11:00:00+0100;323000.0;338000.0;-1.0708068847656025;200.3946875;4.2368135;48.820293;0.7901044
2019-03-05T12:00:00+0100;315400.0;348400.0;-1.0030883789062273;246.33565972222223;4.1153307;52.765247;0.76858926
2019-03-05T13:00:00+0100;292600.0;350400.0;-0.6723083496093523;252.32631944444444;3.6532667;56.24242;0.74521273
2019-03-05T14:00:00+0100;319200.0;341600.0;-0.3269714355468522;239.70555555555555;3.2279289;57.966656;0.7165107
2019-03-05T15:00:00+0100;323000.0;309600.0;-0.7737487792968523;115.67223958333334;2.9513652;60.084457;0.69762087
2019-03-05T16:00:00+0100;326800.0;300000.0;-1.1891540527343525;67.8153125;2.4578109;64.44958;0.8003588
2019-03-05T17:00:00+0100;319200.0;284400.0;-1.7698730468749773;14.3159375;1.9914727;73.71286;0.82369
2019-03-05T18:00:00+0100;326800.0;280800.0;-2.6281799316406023;-0.0089930555555555;1.5013155;77.61257;0.8289083
2019-03-05T19:00:00+0100;307800.0;272800.0;-2.8542236328124773;0.0;1.4847357;74.38667;0.84970593
2019-03-05T20:00:00+0100;300200.0;282000.0;-2.970861816406228;0.0;1.7282846;74.43107;0.8635307
2019-03-05T21:00:00+0100;304000.0;229200.0;-3.0761169433593523;2.7443421763479533e-14;1.9618275;84.04112;0.8754171
2019-03-05T22:00:00+0100;285000.0;215200.0;-3.3021301269531023;2.7561841697831823e-14;1.5571697;94.620056;0.8618821
2019-03-05T23:00:00+0100;243200.0;203200.0;-3.2213806152343523;2.7585464776633566e-14;1.2910327;123.360115;0.85977656
2019-03-06T00:00:00+0100;277400.0;202400.0;-3.3559631347656023;2.7601316294262943e-14;1.1940653;123.05622;0.86781824
2019-03-06T01:00:00+0100;285000.0;197200.0;-3.450964355468728;2.7601316294262943e-14;0.91245633;149.37067;0.8739218
2019-03-06T02:00:00+0100;281200.0;198800.0;-3.5037597656249773;2.7601316294262943e-14;1.0387129;165.56131;0.8784536
2019-03-06T03:00:00+0100;285000.0;199200.0;-3.5348876953124773;2.7621057447419564e-14;1.2286286;173.26366;0.88408417
2019-03-06T04:00:00+0100;319200.0;196400.0;-3.607855224609352;2.7625001052121613e-14;1.1460122;199.06142;0.89333075
2019-03-06T05:00:00+0100;326800.0;202800.0;-3.690679931640602;-1.1047631945062777e-13;1.202806;195.47412;0.898732
2019-03-06T06:00:00+0100;345800.0;266400.0;-3.621649169921852;0.0;0.9102622;183.61708;0.90059423
2019-03-06T07:00:00+0100;361000.0;287200.0;-3.699652099609352;8.56;1.159314;183.69716;0.89032555
2019-03-06T08:00:00+0100;353400.0;310400.0;-3.3599304199218523;56.13333333333333;1.3145485;200.22884;0.8948413
2019-03-06T09:00:00+0100;326800.0;321600.0;-2.7707580566406023;100.48015625;0.9133006;145.83234;0.87007606
2019-03-06T10:00:00+0100;326800.0;345200.0;-1.809729003906228;172.00855902777778;1.1284212;185.8055;0.86444587
2019-03-06T11:00:00+0100;323000.0;344400.0;-1.2971252441406025;195.6405208333333;0.9049489;192.16408;0.8184702
2019-03-06T12:00:00+0100;311600.0;344800.0;-0.5597900390624773;209.16784722222224;0.7287887;198.12592;0.7954595
2019-03-06T13:00:00+0100;311600.0;341200.0;-0.1056274414062272;96.38847222222222;1.416918;92.38273;0.7793921
2019-03-06T14:00:00+0100;319200.0;331600.0;-0.1017211914062272;45.27722222222222;2.8893583;76.27499;0.81349576
2019-03-06T15:00:00+0100;315400.0;301200.0;-0.3353027343749772;27.064965277777777;2.6359415;56.77517;0.8534433
2019-03-06T16:00:00+0100;311600.0;286800.0;-0.8142761230468523;14.731736111111111;3.2368119;53.336876;0.86023355
2019-03-06T17:00:00+0100;296400.0;276000.0;-0.9640563964843524;2.656145833333333;4.1098137;54.51242;0.88300014
2019-03-06T18:00:00+0100;292600.0;274400.0;-1.1903747558593525;0.0108333333333333;3.9059417;53.290005;0.9028834
2019-03-06T19:00:00+0100;273600.0;257600.00000000003;-1.0160583496093525;0.0;4.071039;53.701393;0.91765356
2019-03-06T20:00:00+0100;269800.0;267600.0;-1.0186523437499773;0.0;4.0533113;55.87805;0.92340577
2019-03-06T21:00:00+0100;269800.0;230000.0;-0.9729980468749772;0.0;3.8337843;57.64787;0.93358326
2019-03-06T22:00:00+0100;247000.0;225200.0;-0.6868652343749773;0.0;3.8336704;58.452984;0.93546015
2019-03-06T23:00:00+0100;220400.0;202400.0;-0.5677856445312273;0.0;4.102208;59.530663;0.9461568
2019-03-07T00:00:00+0100;239400.0;198800.0;-0.4586853027343522;0.0;4.1860824;62.83505;0.9526268
2019-03-07T01:00:00+0100;239400.0;190000.0;-0.2061523437499772;0.0;3.710768;64.91808;0.9567926
2019-03-07T02:00:00+0100;239400.0;190800.0;-0.1070617675781022;0.0;3.146701;62.828346;0.9533594
2019-03-07T03:00:00+0100;247000.0;186800.0;-0.1438659667968522;2.8292125586748545e-14;2.9863625;58.374893;0.9504602
2019-03-07T04:00:00+0100;273600.0;183200.0;-0.0241760253906022;-8.480136346220335e-14;3.6496246;56.823967;0.94429636
2019-03-07T05:00:00+0100;281200.0;190000.0;0.0137268066406477;0.0;3.5157259;56.00859;0.9444642
2019-03-07T06:00:00+0100;288800.0;258800.0;0.0463806152343977;0.0;3.2098496;50.426228;0.94139737
2019-03-07T07:00:00+0100;311600.0;273200.0;0.0898986816406477;3.031111111111111;3.325238;51.775387;0.93344754
2019-03-07T08:00:00+0100;311600.0;300400.0;0.1791015625000227;11.77777777777778;3.5375276;51.765495;0.931708
2019-03-07T09:00:00+0100;304000.0;315200.0;0.3977294921875227;20.926762152777776;3.4067216;52.70777;0.9299531
2019-03-07T10:00:00+0100;292600.0;316000.0;0.6653991699218977;35.073168402777775;2.8750663;37.73135;0.92200315
2019-03-07T11:00:00+0100;292600.0;311600.0;1.0043884277343975;19.206614583333334;3.4375618;54.876106;0.9191957
2019-03-07T12:00:00+0100;281200.0;316800.0;1.2316223144531475;19.45043402777777;3.223481;45.763924;0.9432581
2019-03-07T13:00:00+0100;269800.0;310400.0;1.2636352539062727;10.166527777777778;2.6877317;47.782825;0.95421374
2019-03-07T14:00:00+0100;281200.0;304000.0;1.5495849609375227;20.514965277777776;3.3223479;48.060524;0.94975823
2019-03-07T15:00:00+0100;281200.0;296000.0;1.6583190917968975;8.860863715277778;3.3136575;53.34643;0.9658557
2019-03-07T16:00:00+0100;285000.0;292000.0;1.4403930664062727;3.308342013888889;3.4402747;47.891415;0.9863024
2019-03-07T17:00:00+0100;269800.0;266000.0;1.3673950195312727;0.8748828125;3.5514607;48.917713;0.9867749
2019-03-07T18:00:00+0100;262200.0;260400.0;1.2239013671875227;0.0271744791666666;3.7607112;43.741734;0.9843189
2019-03-07T19:00:00+0100;247000.0;255600.0;1.2532592773437727;0.0;3.965437;38.465614;0.9790698
2019-03-07T20:00:00+0100;243200.0;264800.0;1.3337951660156475;0.0;4.364691;42.81254;0.9716236
2019-03-07T21:00:00+0100;235600.0;212800.0;1.5279479980468975;0.0;5.046173;41.004444;0.95789057
2019-03-07T22:00:00+0100;224200.0;205600.0;1.6298767089843975;0.0;4.6329236;35.630062;0.94575906
2019-03-07T23:00:00+0100;258400.0;190800.0;1.5119262695312727;0.0;4.048478;31.493645;0.9473765
2019-03-08T00:00:00+0100;216600.0;190400.0;1.4107299804687727;0.0;4.04002;30.877449;0.9510388
2019-03-08T01:00:00+0100;216600.0;185600.0;1.3559509277343975;0.0;3.9205816;27.632816;0.94311935
2019-03-08T02:00:00+0100;220400.0;180800.0;1.3386779785156475;0.0;3.317647;16.38854;0.94101334
2019-03-08T03:00:00+0100;220400.0;184800.0;1.2846923828125227;2.847765618997479e-14;1.8068337;357.01706;0.94237083
2019-03-08T04:00:00+0100;254600.0;182400.0;1.1592346191406475;-8.480925838148956e-14;2.137547;2.0080972;0.92872924
2019-03-08T05:00:00+0100;273600.0;193600.0;0.9743591308593976;0.0;2.0053527;351.2918;0.9067413
2019-03-08T06:00:00+0100;277400.0;255600.0;0.8305603027343977;0.0;3.336409;358.87695;0.85814196
2019-03-08T07:00:00+0100;307800.0;275200.0;0.5509582519531477;10.79111111111111;4.631974;1.4789327;0.7998383
2019-03-08T08:00:00+0100;307800.0;326800.0;0.2371459960937727;49.6;4.565259;358.90054;0.75981563
2019-03-08T09:00:00+0100;311600.0;346400.0;0.1278625488281477;74.06520833333333;4.7245774;352.65167;0.7340132
2019-03-08T10:00:00+0100;304000.0;368400.0;0.0397277832031477;138.38723958333333;5.0042615;352.63596;0.72905385
2019-03-08T11:00:00+0100;296400.0;374800.0;0.2136169433593977;178.87487847222224;4.5848784;352.86697;0.6738473
2019-03-08T12:00:00+0100;288800.0;373200.0;0.5337768554687727;212.08697916666668;4.2762465;339.32803;0.6405064
2019-03-08T13:00:00+0100;269800.0;344800.0;0.8424011230468977;185.818125;4.5028977;329.29285;0.60115397
2019-03-08T14:00:00+0100;281200.0;332800.0;1.2800842285156475;216.58159722222223;3.7292988;311.6643;0.5944707
2019-03-08T15:00:00+0100;269800.0;301200.0;1.885675048828148;233.27777777777777;4.2448606;312.84625;0.50021714
2019-03-08T16:00:00+0100;269800.0;278000.0;3.4432617187500227;143.81930555555556;3.530205;314.38925;0.4497115
2019-03-08T17:00:00+0100;262200.0;264800.0;2.8005615234375227;37.13666666666666;2.6100686;290.64105;0.50233984
2019-03-08T18:00:00+0100;281200.0;267200.0;1.2512145996093975;0.0272222222222222;1.9218633;276.1712;0.5650542
2019-03-08T19:00:00+0100;269800.0;256000.0;-0.0001281738281022;0.0;1.4935952;270.43365;0.6313234
2019-03-08T20:00:00+0100;277400.0;270800.0;-0.6193603515624773;0.0;1.5698761;251.5055;0.67745084
2019-03-08T21:00:00+0100;269800.0;222000.0;-0.9862121582031024;0.0;1.8370538;259.68665;0.71277523
2019-03-08T22:00:00+0100;250800.0;210800.0;-1.3185791015624773;0.0;1.7117513;257.23065;0.7008278
2019-03-08T23:00:00+0100;254600.0;201600.0;-2.2769836425781023;0.0;1.3020921;245.80054;0.7579719
2019-03-09T00:00:00+0100;239400.0;191200.0;-2.789587402343728;0.0;0.77739453;257.81073;0.77252865
2019-03-09T01:00:00+0100;247000.0;187600.0;-3.0791687011718523;0.0;1.2488422;277.60263;0.7796084
2019-03-09T02:00:00+0100;250800.0;196400.0;-2.6198181152343523;0.0;0.9580757;297.17325;0.7356026
2019-03-09T03:00:00+0100;243200.0;194800.0;-2.334265136718728;2.782632534886136e-14;0.71109545;257.89883;0.75060195
2019-03-09T04:00:00+0100;250800.0;192800.0;-2.0963806152343523;-8.349870177997647e-14;0.42438662;309.69678;0.8008795
2019-03-09T05:00:00+0100;247000.0;193600.0;-1.8802551269531025;0.0;0.6290168;12.379666;0.8319008
2019-03-09T06:00:00+0100;266000.0;197200.0;-1.5630249023437273;0.0;1.2440562;24.057411;0.842719
2019-03-09T07:00:00+0100;269800.0;196800.0;-1.5411743164062273;5.226666666666667;2.4976778;55.093395;0.85150784
2019-03-09T08:00:00+0100;281200.0;194800.0;-1.4668640136718525;18.32888888888889;3.5034857;55.523907;0.86813974
2019-03-09T09:00:00+0100;281200.0;210000.0;-1.0944274902343525;38.79118055555556;4.153609;51.668743;0.8720915
2019-03-09T10:00:00+0100;288800.0;261200.0;-0.6708740234374773;52.88231770833333;5.23108;46.975643;0.81549597
2019-03-09T11:00:00+0100;277400.0;265600.0;-0.6372741699218523;57.97238715277778;5.5032177;42.835682;0.7926539
2019-03-09T12:00:00+0100;277400.0;261200.0;-0.5503906249999773;98.30272569444443;5.4955134;42.57388;0.7964984
2019-03-09T13:00:00+0100;273600.0;260400.0;-0.5054382324218523;128.9358333333333;5.496334;41.74051;0.7954147
2019-03-09T14:00:00+0100;277400.0;238000.0;-0.8163208007812273;154.74298611111112;5.378621;41.80682;0.7897538
