Header_line;17
location;Oslo Norway
year_of_construction;2009
floor_area;15127
number_of_users;1100
building_category;Sch
dhw_heat_source;DH
sh_heat_source;DH
pv;Roof:x:x
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;8102

;Heat import;Electricity import;Heat use;Electricity use;Electricity production;Weather variable;Weather variable;Weather variable;Weather variable;Weather variable
;Wh;Wh;Wh;Wh;Wh;C;W/m2;m/s;deg;%
;Imported District Heating;Electricity imported ;Heat Total = HtSpace + HtDHW;Electricity exported;Electricity production from PV;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Relative Humidity
TimeStamp;HtDH;ElImp;HtTot;ElExp;ElPV;Tout;SolGlob;WindSpd;WindDir;RH
2020-01-01T00:00:00+0100;120000.0;90600.0;120000.0;;;2.500909423828148;1.4290482377690398e-14;1.9966785;203.38626;0.7173824
2020-01-01T01:00:00+0100;150000.0;91800.0;150000.0;;;2.5230651855468977;1.4290482377690398e-14;1.7819151;213.45425;0.73825663
2020-01-01T02:00:00+0100;160000.0;91200.0;160000.0;;;2.297662353515648;1.4290482377690398e-14;1.3703994;190.80864;0.7768002
2020-01-01T03:00:00+0100;160000.0;91800.0;160000.0;;;2.4901977539062727;1.4290482377690398e-14;1.7367903;194.48698;0.8221345
2020-01-01T04:00:00+0100;180000.0;91800.0;180000.0;;;3.2720886230468977;1.4290482377690398e-14;2.0495508;206.29448;0.79056466
2020-01-01T05:00:00+0100;230000.0;103200.0;230000.0;;;2.9740234375000227;1.429042455357453e-14;2.0166001;195.8782;0.8037024
2020-01-01T06:00:00+0100;260000.0;166800.0;260000.0;;;2.2837768554687727;1.4290482377690398e-14;2.113262;201.41685;0.8132242
2020-01-01T07:00:00+0100;300000.0;159600.0;300000.0;;;1.6931701660156475;-8.574283258708547e-14;2.1423001;202.2324;0.8091502
2020-01-01T08:00:00+0100;240000.0;115200.0;240000.0;;;2.3013854980468977;0.0;2.051752;196.32535;0.7969119
2020-01-01T09:00:00+0100;240000.0;107400.0;240000.0;;;2.852227783203148;5.182222222222222;1.850403;213.42561;0.7967445
2020-01-01T10:00:00+0100;220000.0;107400.0;220000.0;;;3.1428161621093977;41.76888888888889;2.2558932;226.97018;0.79169416
2020-01-01T11:00:00+0100;200000.0;103800.0;200000.0;;;3.3455749511718977;69.19111111111111;2.2278244;210.89142;0.7563856
2020-01-01T12:00:00+0100;210000.0;78600.0;210000.0;;;3.679864501953148;73.01333333333334;1.3197672;170.15448;0.723823
2020-01-01T13:00:00+0100;190000.0;78600.0;190000.0;;;3.6518188476562727;56.60444444444445;1.7431794;252.7589;0.74045545
2020-01-01T14:00:00+0100;220000.0;78000.0;220000.0;;;4.213311767578148;25.49333333333333;2.7838051;214.49684;0.7277137
2020-01-01T15:00:00+0100;210000.0;79200.0;210000.0;;;3.6928955078125214;0.4977777777777777;1.8328055;156.10568;0.73380166
2020-01-01T16:00:00+0100;180000.0;79200.0;180000.0;;;3.0671630859375227;0.0088888888888888;1.3706369;107.326645;0.7702248
2020-01-01T17:00:00+0100;180000.0;78600.0;180000.0;;;3.0484252929687727;0.0;1.6023804;146.16595;0.7788617
2020-01-01T18:00:00+0100;180000.0;87600.0;180000.0;;;2.3568359375000227;0.0;1.6826463;117.19014;0.7986831
2020-01-01T19:00:00+0100;150000.0;93000.0;150000.0;;;1.898126220703148;0.0;2.5103102;143.51547;0.8159256
2020-01-01T20:00:00+0100;140000.0;90000.0;140000.0;;;2.2633911132812727;0.0;2.447025;167.02002;0.809273
2020-01-01T21:00:00+0100;140000.0;90600.0;140000.0;;;2.170220947265648;1.4428643465199306e-14;2.5684028;188.25821;0.8204502
2020-01-01T22:00:00+0100;130000.0;91200.0;130000.0;;;2.5436645507812727;1.4424696005556194e-14;1.7629774;211.58073;0.87141436
2020-01-01T23:00:00+0100;160000.0;91200.0;160000.0;;;1.9952636718750227;1.4424638181440332e-14;2.0178738;148.70992;0.8878022
2020-01-02T00:00:00+0100;150000.0;89400.0;150000.0;;;1.5833374023437727;1.4448380763414864e-14;2.8971345;192.59373;0.87694514
2020-01-02T01:00:00+0100;140000.0;90600.0;140000.0;;;1.3538757324218975;1.446417060198731e-14;2.5257168;214.30807;0.8754339
2020-01-02T02:00:00+0100;160000.0;90600.0;160000.0;;;1.5035644531250227;1.4432590924842418e-14;2.1779704;194.96832;0.8669345
2020-01-02T03:00:00+0100;170000.0;91200.0;170000.0;;;2.054498291015648;1.4424696005556194e-14;2.405003;204.99643;0.8538124
2020-01-02T04:00:00+0100;150000.0;84600.0;150000.0;;;2.4046264648437727;1.444048584412864e-14;2.8061388;201.08638;0.83997315
2020-01-02T05:00:00+0100;170000.0;73200.0;170000.0;;;3.573663330078148;1.443253310072655e-14;4.163365;201.50352;0.78314906
2020-01-02T06:00:00+0100;240000.0;150600.0;240000.0;;;3.9641052246093977;1.4448380763414864e-14;4.759137;201.3696;0.77387166
2020-01-02T07:00:00+0100;270000.0;181200.0;270000.0;;;3.9412780761718977;-8.65954838699976e-14;4.4232726;190.11508;0.7875129
2020-01-02T08:00:00+0100;300000.0;219000.0;300000.0;;;4.029351806640648;0.0;4.494868;189.33836;0.80425155
