Header_line;16
location;Oslo Norway
year_of_construction;1861
floor_area;10724
number_of_users;530
building_category;Sch
dhw_heat_source;DH
sh_heat_source;DH
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;8124

;Heat use;Heat import;Electricity import;Weather variable;Weather variable;Weather variable;Weather variable;Weather variable
;Wh;Wh;Wh;C;W/m2;m/s;deg;%
;Heat Total = HtSpace + HtDHW;Imported District Heating;Electricity imported ;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Relative Humidity
TimeStamp;HtTot;HtDH;ElImp;Tout;SolGlob;WindSpd;WindDir;RH
2017-01-01T00:00:00+0100;110000.0;110000.0;42000.0;3.3581481933593977;1.4116794153393484e-14;1.1609945;230.72592;0.8642343
2017-01-01T01:00:00+0100;110000.0;110000.0;44000.0;3.357720947265648;1.4101004314821035e-14;1.4445244;217.27257;0.8345562
2017-01-01T02:00:00+0100;120000.0;120000.0;42000.0;3.042657470703148;1.4101004314821035e-14;1.8664491;293.024;0.7947456
2017-01-01T03:00:00+0100;120000.0;120000.0;42000.0;2.7871032714843977;1.4101004314821035e-14;2.4536896;320.26865;0.77176577
2017-01-01T04:00:00+0100;130000.0;130000.0;44000.0;2.495538330078148;1.4085214476248592e-14;3.5763886;328.37384;0.7541572
2017-01-01T05:00:00+0100;120000.0;120000.0;43000.0;2.0779968261718977;1.4116794153393484e-14;2.5166202;321.05463;0.77222353
2017-01-01T06:00:00+0100;130000.0;130000.0;42000.0;1.9595581054687727;1.4085214476248592e-14;1.333405;180.30438;0.7943484
2017-01-01T07:00:00+0100;140000.0;140000.0;40000.0;1.5839477539062727;-1.6908567139021593e-13;1.4848568;188.02124;0.75931436
2017-01-01T08:00:00+0100;140000.0;140000.0;39000.0;0.9025207519531476;0.0;0.650018;215.97171;0.7536072
2017-01-01T09:00:00+0100;150000.0;150000.0;42000.0;0.5688720703125227;6.0088888888888885;0.9251979;171.55887;0.7599705
2017-01-01T10:00:00+0100;130000.0;130000.0;42000.0;0.4255310058593977;42.48888888888889;1.5064627;188.65776;0.7280638
2017-01-01T11:00:00+0100;130000.0;130000.0;38000.0;0.7241455078125227;45.36888888888889;2.047773;188.1067;0.6901454
2017-01-01T12:00:00+0100;120000.0;120000.0;38000.0;2.3526550292968977;35.093333333333334;2.9217181;179.15851;0.7112635
