Header_line;15
location;Oslo Norway
year_of_construction;2020
number_of_users;576
building_category;Sch
dhw_heat_source;GSHP, HWH
sh_heat_source;GSHP, EB
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;8127

;Electricity use;Heat production;Electricity use;Electricity use;Electricity import;Heat use;Electricity use;Electricity use;Electricity production;Weather variable;Weather variable;Weather variable;Weather variable;Weather variable
;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;C;W/m2;m/s;deg;%
;Electricity for charging of electric vehicles;Heat from heat pumps;Electricity for hot water heater;Electricity for heat pump;Electricity imported ;Heat Total = HtSpace + HtDHW;Electricity exported;Electricity for electric boiler;Electricity production from PV;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Relative Humidity
TimeStamp;ElEV;HtHP;ElHWH;ElHP;ElImp;HtTot;ElExp;ElBoil;ElPV;Tout;SolGlob;WindSpd;WindDir;RH
2021-01-01T00:00:00+0100;0.0;5000.0;4100.0;150.0;115600.0;78600.0;0.0;73600.0;0.0;0.5074707031250227;2.201172114949893e-14;1.1598598;24.646347;0.8438573
2021-01-01T01:00:00+0100;0.0;0.0;6199.999999999999;100.0;111600.0;70400.0;0.0;70400.0;0.0;0.4543701171875227;2.2153821986768842e-14;1.3752877;21.367636;0.85014385
2021-01-01T02:00:00+0100;0.0;10000.0;1000.0;200.0;124400.0;96300.0;0.0;86300.0;100.0;0.4082275390625227;2.2216981341058623e-14;1.3134573;19.513115;0.86804205
2021-01-01T03:00:00+0100;0.0;0.0;8200.0;200.0;118800.0;75100.0;0.0;75100.0;0.0;0.2679687500000227;2.2252508477846643e-14;1.9518324;24.178461;0.8629608
2021-01-01T04:00:00+0100;0.0;0.0;2900.0000000000005;100.0;126800.0;87800.0;0.0;87800.0;0.0;0.1272827148437727;2.2264350856775967e-14;1.9030825;32.34279;0.8475569
2021-01-01T05:00:00+0100;0.0;10000.0;4900.0;200.0;151200.0;111800.0;0.0;101800.0;0.0;0.0580078125000227;2.228802790475252e-14;1.6935812;24.256618;0.8512037
2021-01-01T06:00:00+0100;0.0;0.0;6200.0;100.0;268400.0;200300.0;0.0;200300.0;0.0;-0.0173706054687272;-1.1130595673542529e-13;2.5388422;22.608866;0.84821266
2021-01-01T07:00:00+0100;0.0;0.0;5850.0;150.0;265200.0;192950.0;0.0;192950.0;50.0;0.0329528808593977;0.0;2.2746902;26.176083;0.8359138
2021-01-01T08:00:00+0100;0.0;0.0;5850.0;150.0;251200.0;192950.0;0.0;192950.0;50.0;-0.0533813476562272;0.0;2.0394921;27.625471;0.83844644
2021-01-01T09:00:00+0100;0.0;0.0;3300.0;100.0;242800.0;179800.0;0.0;179800.0;0.0;-0.1230834960937272;0.8977777777777778;1.8570535;30.321264;0.84226096
2021-01-01T10:00:00+0100;0.0;0.0;9400.0;100.0;260000.0;192400.0;0.0;192400.0;0.0;-0.0322326660156022;5.644444444444445;2.525707;31.533493;0.8411164
2021-01-01T11:00:00+0100;0.0;3333.33;5800.007;66.66669999999999;243600.0;184200.0;0.0;180867.0;33.3333;-0.0059875488281022;6.648888888888889;2.3909385;34.967854;0.85773313
2021-01-01T12:00:00+0100;0.0;3333.33;5800.007;66.66669999999999;250000.0;184200.0;0.0;180867.0;33.3333;0.1065612792968977;5.297777777777778;2.5996563;37.77974;0.8741821
2021-01-01T13:00:00+0100;0.0;3333.33;5800.007;66.66669999999999;247200.0;184200.0;0.0;180867.0;33.3333;0.4088989257812727;5.013333333333334;2.363222;42.669838;0.88857126
2021-01-01T14:00:00+0100;0.0;0.0;4400.0;200.0;242800.0;174500.0;0.0;174500.0;0.0;0.5792785644531477;4.96;2.2040188;53.117203;0.8986114
2021-01-01T15:00:00+0100;0.0;0.0;8000.0;100.0;255200.0;184600.0;0.0;184600.0;0.0;0.6776367187500227;0.3111111111111111;1.8812414;40.52312;0.8939116
2021-01-01T16:00:00+0100;0.0;0.0;3600.0;100.0;235600.0;164600.0;0.0;164600.0;0.0;0.6501098632812727;0.0;2.2458827;36.271458;0.89156145
2021-01-01T17:00:00+0100;0.0;10000.0;9000.0;100.0;234000.0;172400.0;0.0;162400.0;0.0;0.7633300781250227;0.0;2.737964;36.343925;0.8949175
2021-01-01T18:00:00+0100;0.0;0.0;4300.000000000001;100.0;252000.0;181200.0;0.0;181200.0;100.0;0.6981445312500227;0.0;2.7133787;33.63287;0.8938189
2021-01-01T19:00:00+0100;0.0;0.0;6800.000000000001;100.0;257200.0;187200.0;0.0;187200.0;0.0;0.6755615234375227;0.0;2.533272;19.151375;0.9162648
2021-01-01T20:00:00+0100;0.0;0.0;5900.0;0.0;252400.0;181800.0;0.0;181800.0;0.0;0.9249816894531476;0.0;2.1928833;19.75959;0.9021653
2021-01-01T21:00:00+0100;0.0;0.0;5300.0;100.0;202800.0;146300.0;0.0;146300.0;0.0;0.9826599121093976;2.2805152827882265e-14;2.3397863;25.375372;0.90042603
2021-01-01T22:00:00+0100;0.0;5000.0;3600.0;100.0;125600.0;78500.0;0.0;73500.0;0.0;1.0483337402343975;2.2809100287525377e-14;2.0750403;30.330269;0.9169213
