building_category,model,MAE,RMSE,R2,city
Kdg,LightGBM,1.642305,2.415975,0.9428300000000001,drammen
Kdg,RandomForest,1.66706,2.52582,0.93841,drammen
Kdg,XGBoost,1.7383099999999998,2.616825,0.933095,drammen
Kdg,Lasso,3.7428200000000005,4.84504,0.73238,drammen
Kdg,Ridge,3.7673049999999995,4.877190000000001,0.7281,drammen
Kdg,Mean Baseline,8.66464,10.8842,-0.07362,drammen
Kdg,Seasonal Naive (24 h),13.945070000000001,17.451675,-1.8912600000000002,drammen
Kdg,LSTM_SetupB,28.439825,30.07668,-11.55264,drammen
Kdg,Naive,51.71842,52.904165,-36.620585,drammen
Nsh,LightGBM,4.790442857142857,6.4044,0.9373714285714286,drammen
Nsh,XGBoost,4.863842857142857,6.5224,0.9350142857142857,drammen
Nsh,RandomForest,5.447028571428571,7.315971428571428,0.9211,drammen
Nsh,Lasso,6.4822,8.520328571428571,0.8919285714285714,drammen
Nsh,Ridge,6.483242857142857,8.52067142857143,0.8918571428571429,drammen
Nsh,Mean Baseline,24.103014285714288,28.50207142857143,-0.04207142857142857,drammen
Nsh,Naive,25.91857142857143,32.143,-0.3132142857142857,drammen
Nsh,LSTM_SetupB,35.217757142857145,43.58744285714286,-1.4626000000000001,drammen
Nsh,Seasonal Naive (24 h),72.89915714285715,77.97937142857143,-7.425257142857142,drammen
Off,LightGBM,3.88855,5.35925,0.9558,drammen
Off,RandomForest,3.9642,5.61745,0.9504999999999999,drammen
Off,XGBoost,4.2082999999999995,5.8801000000000005,0.9471,drammen
Off,Lasso,7.285399999999999,9.8775,0.85195,drammen
Off,Ridge,7.2947500000000005,9.8813,0.8518,drammen
Off,LSTM_SetupB,20.44555,26.87925,-0.10175000000000001,drammen
Off,Mean Baseline,20.535400000000003,25.8692,-0.02485,drammen
Off,Naive,31.02365,34.5239,-0.94415,drammen
Off,Seasonal Naive (24 h),43.069649999999996,49.9157,-2.7818,drammen
Sch,LightGBM,6.752846666666667,10.769333333333332,0.9502333333333334,drammen
Sch,XGBoost,6.90574,10.944346666666666,0.9482,drammen
Sch,RandomForest,7.476100000000001,12.121926666666667,0.9377800000000001,drammen
Sch,Lasso,12.56474,18.944673333333334,0.8489066666666666,drammen
Sch,Ridge,12.56508,18.922026666666667,0.8491733333333333,drammen
Sch,Mean Baseline,40.28411333333334,51.57642,-0.08464666666666668,drammen
Sch,Naive,44.31371333333333,55.88344666666667,-0.51702,drammen
Sch,LSTM_SetupB,44.63612,60.0107,-0.4294733333333333,drammen
Sch,Seasonal Naive (24 h),68.64096666666666,84.61857333333334,-1.9544533333333334,drammen
