building_id,n,winkler_score,coverage_rate,mean_pi_width,p50_mae
6396,6072,7.2976,0.7768,6.5385,2.0679
6397,4440,19.6547,0.6694,16.5143,5.842
6398,4416,5.164,0.8381,4.7522,1.3717
6399,5712,17.7605,0.7589,15.3821,5.1815
6400,6072,26.8286,0.7902,24.1171,7.112
6402,6072,3.1581,0.7798,2.8862,0.8674
6404,4440,9.1622,0.8104,8.3956,2.3337
6405,6072,3.953,0.8207,3.6414,1.0337
6406,6072,5.5446,0.7663,4.9471,1.5424
6407,4440,5.4783,0.7883,5.0082,1.4894
6408,6072,28.058,0.7744,24.4222,7.9227
6409,4440,6.4247,0.8155,5.9368,1.6124
6410,5712,17.5621,0.7721,15.7451,4.945
6411,6264,15.9355,0.7899,14.7519,4.4613
6412,4440,17.3268,0.7072,14.6191,5.2786
6414,6072,31.8878,0.809,28.3197,8.7311
6415,6072,6.9297,0.7999,6.3838,1.8223
6416,6072,45.408,0.7526,39.5615,13.2668
6417,5712,13.1327,0.7859,11.8403,3.7688
6418,6072,22.3919,0.7915,20.0645,6.2033
6419,6072,5.9291,0.8017,5.3899,1.6343
6420,4440,20.5493,0.7703,17.5109,5.945
6421,6072,6.9294,0.885,6.6715,1.4251
6422,6072,5.0712,0.8434,4.8059,1.1848
6423,5712,19.5138,0.7987,17.8856,5.3596
6424,6072,30.7109,0.7386,26.5118,9.0726
6425,6072,3.7159,0.7694,3.3494,1.0908
6426,4440,3.0947,0.8243,2.8591,0.8309
6428,5808,4.4347,0.8161,3.9529,1.2446
6429,6072,6.6202,0.7263,5.8302,1.8776
6431,6072,23.8875,0.747,20.3149,7.1185
6432,6096,27.3029,0.7544,23.8933,7.9075
6433,4440,6.3746,0.8126,5.8956,1.7085
6434,4440,5.4962,0.7815,4.7844,1.572
6436,5717,13.8665,0.7653,12.3867,4.0939
6437,4440,6.0807,0.8079,5.6988,1.4409
6438,6072,12.3779,0.806,10.9525,3.4233
6439,6072,6.9961,0.795,6.4333,1.8367
6440,6072,14.1785,0.7765,12.8434,3.8331
6441,6264,12.2867,0.7411,10.7732,3.5443
6442,5712,19.9581,0.8158,18.5162,5.1988
6443,6072,5.4693,0.7706,4.8815,1.596
6444,4440,24.5034,0.7811,21.5361,6.7831
6445,6096,28.5443,0.7436,22.7528,9.2555
