,Model,MAE,RMSE,MAPE,R²,n_samples,daily_peak_mae,per_building,train_time_s
0,RandomForest,1.7114,3.4414,6.3071,0.9947,240481,,,
1,Stacking Ensemble (Ridge meta),1.7438,3.2405,7.4331,0.9953,240481,,,
2,LightGBM,2.1085,3.7151,9.2471,0.9938,240481,,,
3,XGBoost,2.2284,3.9381,9.5596,0.9931,240481,,,
4,Lasso,3.0638,5.322,13.9547,0.9873,240481,,,
5,Ridge,3.0694,5.3109,14.1249,0.9874,240481,,,
6,LSTM,3.5824,6.4352,18.5229,0.9816,237313,,,
7,GRU,3.9468,6.5065,33.0021,0.9812,237313,,,
8,CNN-LSTM,4.572,7.2394,37.2237,0.9767,237313,,,
9,Mean Baseline,22.6908,35.3311,127.81,0.4415,240481,,,
