,model,horizon,MAE,RMSE,R2,train_time
0,lightgbm,24,4.0571,7.48,0.9753,11.2
1,xgboost,24,4.1822,7.6185,0.9744,6.9
2,ridge,24,7.4866,12.905,0.9265,0.2
3,lightgbm,1,3.1883,5.7967,0.9852,11.0
4,xgboost,1,3.3386,6.0733,0.9837,7.3
5,ridge,1,4.3013,7.781,0.9733,0.2
6,lightgbm,6,3.5844,6.5049,0.9813,11.3
7,xgboost,6,3.6779,6.6401,0.9805,7.0
8,ridge,6,6.306,10.7013,0.9495,0.2
9,lightgbm,12,3.799,6.9048,0.979,11.5
10,xgboost,12,3.9059,7.0623,0.978,7.8
11,ridge,12,6.8832,11.6757,0.9399,0.2
12,lightgbm,48,4.724,8.6889,0.9667,10.8
13,xgboost,48,4.8238,8.7705,0.9661,6.5
14,ridge,48,8.4469,14.3318,0.9094,0.1
