model,building_id,MAE,RMSE,MAPE,R2,n_samples
LightGBM_Quantile,6396,2.0679,3.0361,25.4244,0.9174,6072
RandomForest,6396,2.2104,3.1758,28.9971,0.9096,6072
LightGBM,6396,2.2593,3.2056,32.794,0.9079,6072
XGBoost,6396,2.3554,3.3942,33.5012,0.8968,6072
Lasso,6396,4.1389,5.4468,87.1272,0.7342,6072
Ridge,6396,4.1633,5.4819,87.6927,0.7308,6072
Mean Baseline,6396,8.3772,10.5678,236.1267,-0.0005,6072
Seasonal Naive (24 h),6396,12.7082,16.4102,121.1801,-1.4124,6072
Naive,6396,52.9756,54.0189,1529.8553,-25.1408,6072
XGBoost,6397,5.7117,8.7723,32.4925,0.909,4440
LightGBM,6397,5.7776,8.757,32.6892,0.9094,4440
LightGBM_Quantile,6397,5.842,9.08,32.3704,0.9026,4440
RandomForest,6397,6.3199,9.9386,39.5901,0.8833,4440
Ridge,6397,8.2561,12.5327,41.7898,0.8144,4440
Lasso,6397,8.2576,12.5521,41.5357,0.8138,4440
Mean Baseline,6397,24.3974,30.5371,266.1923,-0.1021,4440
Naive,6397,35.2523,39.8309,390.0207,-0.8751,4440
Seasonal Naive (24 h),6397,37.8769,47.4406,104.2786,-1.66,4440
LightGBM_Quantile,6398,1.3717,2.0763,8.8666,0.9227,4416
LightGBM,6398,1.4904,2.1915,9.8578,0.9138,4416
XGBoost,6398,1.5161,2.2465,9.9996,0.9095,4416
RandomForest,6398,1.6097,2.3897,10.8486,0.8976,4416
Lasso,6398,3.4944,4.4064,27.088,0.6517,4416
Ridge,6398,3.5241,4.4464,27.3099,0.6454,4416
Mean Baseline,6398,6.0773,8.5912,34.4385,-0.324,4416
Seasonal Naive (24 h),6398,15.3967,17.0453,105.6968,-4.212,4416
Naive,6398,50.2235,50.7754,445.3118,-45.2485,4416
LightGBM_Quantile,6399,5.1815,7.1962,11.5902,0.891,5712
LightGBM,6399,5.3075,7.2865,12.0584,0.8883,5712
XGBoost,6399,5.352,7.3579,12.0396,0.8861,5712
RandomForest,6399,5.9533,8.2276,13.1347,0.8576,5712
Ridge,6399,6.2408,8.2377,14.3553,0.8572,5712
Lasso,6399,6.2457,8.2449,14.3595,0.8569,5712
Mean Baseline,6399,18.4913,21.8521,50.1648,-0.0048,5712
Naive,6399,22.9447,27.1855,77.4554,-0.5552,5712
Seasonal Naive (24 h),6399,48.5875,53.0677,100.1456,-4.9262,5712
LightGBM,6400,7.0827,11.6971,11.7951,0.9475,6072
LightGBM_Quantile,6400,7.112,12.419,11.0982,0.9409,6072
XGBoost,6400,7.1177,11.516,11.7118,0.9491,6072
RandomForest,6400,7.3723,13.0726,11.7916,0.9345,6072
Ridge,6400,12.8158,19.1077,21.629,0.86,6072
Lasso,6400,12.8202,19.1312,21.612,0.8597,6072
Mean Baseline,6400,39.8131,51.9547,88.6111,-0.035,6072
Naive,6400,39.9218,51.6141,91.6976,-0.0215,6072
Seasonal Naive (24 h),6400,71.7687,87.5544,99.7656,-1.9394,6072
LightGBM_Quantile,6402,0.8674,1.191,14.9678,0.9488,6072
RandomForest,6402,0.9675,1.3373,16.9604,0.9355,6072
LightGBM,6402,1.0116,1.3396,21.1129,0.9352,6072
XGBoost,6402,1.1107,1.5398,22.5955,0.9144,6072
Lasso,6402,3.5075,4.3437,93.1341,0.3192,6072
Ridge,6402,3.541,4.3864,93.8683,0.3058,6072
Mean Baseline,6402,4.3749,5.4494,117.0758,-0.0715,6072
Seasonal Naive (24 h),6402,7.9802,9.5025,125.5892,-2.258,6072
Naive,6402,57.8157,58.0549,1795.0147,-120.6058,6072
LightGBM_Quantile,6404,2.3337,3.6535,10.0192,0.958,4440
RandomForest,6404,2.4095,3.6258,10.5957,0.9586,4440
LightGBM,6404,2.4893,3.7393,11.1446,0.956,4440
XGBoost,6404,2.6755,4.0931,11.7692,0.9472,4440
Lasso,6404,5.5464,7.6985,27.1934,0.8134,4440
Ridge,6404,5.5665,7.7136,27.3032,0.8126,4440
Mean Baseline,6404,19.3847,21.2903,129.0911,-0.4274,4440
Seasonal Naive (24 h),6404,25.6756,31.0707,103.1512,-2.0401,4440
Naive,6404,40.5088,43.5154,282.5211,-4.963,4440
LightGBM_Quantile,6405,1.0337,1.6481,15.6499,0.9607,6072
LightGBM,6405,1.1678,1.7981,18.1991,0.9533,6072
XGBoost,6405,1.2897,2.0263,19.4355,0.9406,6072
RandomForest,6405,1.3005,1.9993,19.0991,0.9422,6072
Lasso,6405,3.4287,4.3742,73.7008,0.7234,6072
Ridge,6405,3.4602,4.4208,74.2295,0.7175,6072
Mean Baseline,6405,6.1479,8.3272,159.5297,-0.0024,6072
Seasonal Naive (24 h),6405,10.9015,13.6178,120.0839,-1.6807,6072
Naive,6405,54.8251,55.4524,1434.5812,-43.451,6072
LightGBM_Quantile,6406,1.5424,2.1578,19.1145,0.9642,6072
RandomForest,6406,1.6735,2.4331,20.132,0.9545,6072
LightGBM,6406,1.7008,2.3446,21.3282,0.9578,6072
XGBoost,6406,1.8227,2.6177,22.2643,0.9474,6072
Lasso,6406,3.7203,4.7764,52.9272,0.8247,6072
Ridge,6406,3.7411,4.8043,53.294,0.8227,6072
Mean Baseline,6406,8.2124,11.4392,143.2718,-0.0054,6072
Seasonal Naive (24 h),6406,15.2691,18.9337,112.2678,-1.7543,6072
Naive,6406,50.3536,51.6298,910.39,-19.4805,6072
LightGBM_Quantile,6407,1.4894,2.5645,16.8319,0.9572,4440
LightGBM,6407,1.6358,2.6515,19.0982,0.9542,4440
RandomForest,6407,1.6659,2.6503,17.9197,0.9543,4440
XGBoost,6407,1.6866,2.7754,19.6165,0.9499,4440
Lasso,6407,3.4189,4.558,52.2845,0.8648,4440
Ridge,6407,3.4414,4.5881,52.6556,0.863,4440
Mean Baseline,6407,9.9731,12.5365,184.7301,-0.0228,4440
Seasonal Naive (24 h),6407,15.2797,19.529,112.5192,-1.482,4440
Naive,6407,50.3423,51.846,929.2419,-16.4936,4440
LightGBM,6408,7.4104,11.6793,9.12,0.9676,6072
XGBoost,6408,7.4622,11.6472,9.2636,0.9678,6072
LightGBM_Quantile,6408,7.9227,13.0184,9.1158,0.9597,6072
RandomForest,6408,8.9503,13.9242,10.6643,0.9539,6072
Ridge,6408,15.5038,23.2484,18.6295,0.8716,6072
Lasso,6408,15.5157,23.2885,18.6061,0.8711,6072
Mean Baseline,6408,51.6694,65.3316,101.8396,-0.0141,6072
Naive,6408,53.7304,70.6052,80.3033,-0.1845,6072
Seasonal Naive (24 h),6408,91.6722,111.5565,99.4305,-1.9569,6072
LightGBM_Quantile,6409,1.6124,2.3837,12.8838,0.9641,4440
RandomForest,6409,1.8005,2.6971,13.7529,0.954,4440
LightGBM,6409,1.8038,2.6363,15.0197,0.956,4440
XGBoost,6409,1.8522,2.8335,15.0183,0.9492,4440
Lasso,6409,3.6845,4.8164,40.3035,0.8533,4440
Ridge,6409,3.6992,4.8382,40.5042,0.852,4440
Mean Baseline,6409,9.8644,12.5814,111.0523,-0.0011,4440
Seasonal Naive (24 h),6409,16.3945,20.5272,108.2708,-1.6649,4440
Naive,6409,49.2036,50.7837,638.8781,-15.3103,4440
LightGBM_Quantile,6410,4.945,6.4755,6.2986,0.9658,5712
LightGBM,6410,4.9581,6.4586,6.3441,0.9659,5712
XGBoost,6410,4.9595,6.5117,6.2877,0.9654,5712
RandomForest,6410,5.6938,7.4633,7.2199,0.9545,5712
Lasso,6410,6.5545,8.3889,8.3855,0.9425,5712
Ridge,6410,6.5621,8.3982,8.3974,0.9424,5712
Mean Baseline,6410,31.219,35.111,43.5078,-0.0066,5712
Naive,6410,33.0173,40.8571,36.3352,-0.363,5712
Seasonal Naive (24 h),6410,85.049,91.6753,99.0045,-5.8624,5712
RandomForest,6411,3.9684,5.5392,9.0155,0.96,6264
LightGBM,6411,4.1716,5.6092,9.8514,0.959,6264
LightGBM_Quantile,6411,4.4613,6.4353,9.9436,0.946,6264
XGBoost,6411,4.6037,6.3074,10.7717,0.9482,6264
Lasso,6411,8.6207,11.4833,20.5658,0.8282,6264
Ridge,6411,8.63,11.488,20.6012,0.828,6264
Mean Baseline,6411,22.9525,27.7172,63.9833,-0.001,6264
Naive,6411,27.8234,30.9103,88.9176,-0.2449,6264
Seasonal Naive (24 h),6411,51.0586,57.8772,100.0187,-3.3647,6264
LightGBM,6412,5.1627,7.0623,8.4987,0.9261,4440
XGBoost,6412,5.2576,7.1723,8.6776,0.9238,4440
LightGBM_Quantile,6412,5.2786,7.2472,8.5387,0.9222,4440
RandomForest,6412,6.1511,8.3969,9.8868,0.8956,4440
Ridge,6412,6.6678,8.7732,10.6092,0.886,4440
Lasso,6412,6.6915,8.8021,10.6474,0.8852,4440
Naive,6412,20.791,26.0638,33.254,-0.0062,4440
Mean Baseline,6412,24.3606,27.9459,44.8945,-0.1568,4440
Seasonal Naive (24 h),6412,66.454,71.156,99.2918,-6.4995,4440
XGBoost,6414,7.949,13.0049,10.6764,0.9552,6072
LightGBM,6414,7.9999,13.0648,10.5959,0.9548,6072
LightGBM_Quantile,6414,8.7311,15.0331,10.7051,0.9401,6072
RandomForest,6414,8.9298,15.1183,11.3709,0.9395,6072
Ridge,6414,16.6081,25.1415,24.2906,0.8326,6072
Lasso,6414,16.6081,25.174,24.2466,0.8322,6072
Mean Baseline,6414,46.8239,63.6278,93.8551,-0.0722,6072
Naive,6414,47.0716,64.2108,91.2592,-0.0919,6072
Seasonal Naive (24 h),6414,82.6546,102.295,99.6808,-1.7713,6072
LightGBM_Quantile,6415,1.8223,2.7699,14.5163,0.9634,6072
LightGBM,6415,1.9977,2.9005,16.5367,0.9599,6072
XGBoost,6415,2.119,3.1975,16.9489,0.9513,6072
RandomForest,6415,2.1335,3.226,16.2346,0.9504,6072
Lasso,6415,4.1544,5.5033,43.3821,0.8556,6072
Ridge,6415,4.1663,5.5226,43.6101,0.8546,6072
Mean Baseline,6415,13.3914,15.5463,189.9143,-0.1523,6072
Seasonal Naive (24 h),6415,18.3757,23.235,108.4985,-1.5739,6072
Naive,6415,47.1752,49.346,654.9141,-10.6094,6072
